date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_agg.us,w_dbc.us,w_efa.us,w_iau.us,w_ief.us,w_ivv.us,w_lqd.us,w_shy.us,w_spy.us,w_tlt.us,w_vwo.us
2006-02-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-01,0.010187762975641619,0.006187762975641619,1.0,6,True,0.004,0.996,-0.0040000000000000036,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.15000000000000002,0.0,0.5,0.0,0.05,0.0
2006-04-01,0.03207789680645429,0.03207789680645429,0.0,0,False,0.0,1.006099226473435,-0.002238473905919358,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.15000000000000002,0.0,0.5,0.0,0.05,0.0
2006-05-01,-0.012915236797829778,-0.012915236797829778,0.0,0,False,0.0,1.0383727736373034,-0.0035417369339507676,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.15000000000000002,0.0,0.5,0.0,0.05,0.0
2006-06-01,-0.003635840017086362,-0.003635840017086362,0.0,0,False,0.0,1.0249619433813584,-0.040961179657936,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.15000000000000002,0.0,0.5,0.0,0.05,0.0
2006-07-01,0.011723670057564235,0.011723670057564235,0.0,0,False,0.0,1.0167832145953897,-0.04861387199197198,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.15000000000000002,0.0,0.5,0.0,0.05,0.0
2006-08-01,0.00042017893838230437,-0.001979821061617696,0.6,5,True,0.0024000000000000002,1.0262347567741195,-0.03977023060603058,0.0,0.0,0.0,0.0,0.35000000000000003,0.5,0.05,0.0,0.0,0.0,0.1,0.0
2006-09-01,0.0024672736918977646,-0.0007327263081022355,0.8,5,True,0.0032,1.0233806279359368,-0.04244078864162448,0.0,0.0,0.0,0.5,0.05,0.0,0.30000000000000004,0.0,0.0,0.0,0.15000000000000002,0.0
2006-10-01,0.02377930229936883,0.02137930229936883,0.6,4,True,0.0024000000000000002,1.0261823783938642,-0.03981924013300453,0.0,0.0,0.0,0.0,0.05,0.0,0.2,0.0,0.0,0.5,0.25,0.0
2006-11-01,0.04768425814706025,0.044884258147060256,0.7,5,True,0.0028,1.0451283010575378,-0.02209187431323667,0.0,0.0,0.0,0.0,0.1,0.0,0.35000000000000003,0.0,0.0,0.0,0.05,0.5
2006-12-01,0.010827481437443127,0.010227481437443127,0.15000000000000002,2,True,0.0006000000000000001,1.0943074900807073,-0.005055058580539562,0.0,0.0,0.0,0.0,0.25,0.0,0.2,0.0,0.0,0.0,0.05,0.5
2007-01-01,0.011532701849879713,0.009132701849879712,0.6,4,True,0.0024000000000000002,1.0866311621616433,-0.023728049258331607,0.0,0.0,0.0,0.0,0.15000000000000002,0.0,0.30000000000000004,0.0,0.5,0.0,0.05,0.0
2007-02-01,0.011996867073939372,0.009396867073939372,0.65,5,True,0.0026,1.093673999375605,-0.017400488752932097,0.0,0.0,0.1,0.0,0.2,0.0,0.15000000000000002,0.5,0.0,0.0,0.05,0.0
2007-03-01,-0.005983162569376976,-0.006583162569376976,0.15,4,True,0.0006,1.106130584171757,-0.014133387321344393,0.0,0.0,0.2,0.0,0.15000000000000002,0.0,0.05,0.5,0.0,0.0,0.1,0.0
2007-04-01,0.011454223225352179,0.009054223225352178,0.6,5,True,0.0024000000000000002,1.1038669571502224,-0.01615090165104638,0.0,0.0,0.15000000000000002,0.0,0.15000000000000002,0.0,0.15000000000000002,0.0,0.5,0.0,0.05,0.0
2007-05-01,0.04523879439484938,0.04323879439484938,0.5,2,True,0.002,1.1116036069997817,-0.00925541852291556,0.0,0.0,0.15000000000000002,0.0,0.15000000000000002,0.0,0.15000000000000002,0.0,0.0,0.0,0.05,0.5
