date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_vt.us
2008-07-01,-0.023868898238525005,-0.027868898238525005,1.0,2,True,0.004,0.996,0.0,0.0,1.0
2008-08-01,-0.04020881928246145,-0.04020881928246145,0.0,0,False,0.0,0.9722265773544294,-0.023868898238524672,0.0,1.0
2008-09-01,-0.07869177291472029,-0.07869177291472029,0.0,0,False,0.0,0.9599816580236897,-0.03616299395211875,0.0,1.0
2008-10-01,-0.20232719162260038,-0.20232719162260038,0.0,0,False,0.0,0.8844389993881926,-0.11200903675884277,0.0,1.0
2008-11-01,-0.14513638703036547,-0.14513638703036547,0.0,0,False,0.0,0.7051217168270797,-0.2920464690491168,0.0,1.0
2008-12-01,0.17193382874909013,0.17193382874909013,0.0,0,False,0.0,0.6027828984301484,-0.3947962867167184,0.0,1.0
2009-01-01,-0.13343326611511952,-0.13343326611511952,0.0,0,False,0.0,0.687905461175833,-0.3093318662893243,0.0,1.0
2009-02-01,-0.14004344421488524,-0.14004344421488524,0.0,0,False,0.0,0.5971260553110012,-0.4004758480813241,0.0,1.0
2009-03-01,0.17122984638495353,0.17122984638495353,0.0,0,False,0.0,0.5411533302264818,-0.4566733632264238,0.0,1.0
2009-04-01,0.11035024992752529,0.11035024992752529,0.0,0,False,0.0,0.6338149318318683,-0.36363962667483096,0.0,1.0
2009-05-01,0.12546036417723871,0.12546036417723871,0.0,0,False,0.0,0.7037565679673127,-0.29341710043442504,0.0,1.0
2009-06-01,-0.028445997244326837,-0.028445997244326837,0.0,0,False,0.0,0.7920501232766155,-0.20476895253351857,0.0,1.0
2009-07-01,0.10529609892515124,0.10529609892515124,0.0,0,False,0.0,0.7695194676525203,-0.2273900927183531,0.0,1.0
2009-08-01,-0.01682399612458918,-0.01682399612458918,0.0,0,False,0.0,0.832634813464193,-0.16402127162229618,0.0,1.0
2009-09-01,0.04800982768263773,0.04800982768263773,0.0,0,False,0.0,0.8186265685892734,-0.17808577450876162,0.0,1.0
2009-10-01,0.007163346537609971,0.007163346537609971,0.0,0,False,0.0,0.8579286890836733,-0.13862581417301878,0.0,1.0
2009-11-01,0.0685092666187248,0.0685092666187248,0.0,0,False,0.0,0.8584901090144579,-0.13806213954371693,0.0,1.0
2009-12-01,0.0026005614378952213,0.0026005614378952213,0.0,0,False,0.0,0.9173046367824681,-0.07901140885294367,0.0,1.0
2010-01-01,-0.0539784604332646,-0.0539784604332646,0.0,0,False,0.0,0.8985752924350016,-0.09781597145080168,0.0,1.0
2010-02-01,0.00931158969251844,0.00931158969251844,0.0,0,False,0.0,0.8500715815659898,-0.14651447633936765,0.0,1.0
2010-03-01,0.07026875354596807,0.07026875354596807,0.0,0,False,0.0,0.8579870993428027,-0.1385671693345354,0.0,1.0
2010-04-01,-0.007461805065384408,-0.007461805065384408,0.0,0,False,0.0,0.918276783372142,-0.07803535806009831,0.0,1.0
2010-05-01,-0.11811524160331588,-0.11811524160331588,0.0,0,False,0.0,0.9030171889414418,-0.09335623600256848,0.0,1.0
2010-06-01,-0.013172316412074392,-0.013172316412074392,0.0,0,False,0.0,0.7963570954976759,-0.2004446832352652,0.0,1.0
2010-07-01,0.11873909751615153,0.11873909751615153,0.0,0,False,0.0,0.7858672278587797,-0.21097667885664684,0.0,1.0
2010-08-01,-0.03544841197673343,-0.03544841197673343,0.0,0,False,0.0,0.8557289075638003,-0.14083443015682706,0.0,1.0
2010-09-01,0.07510655988526471,0.07510655988526471,0.0,0,False,0.0,0.8253946767080785,-0.17129048523285284,0.0,1.0
2010-10-01,0.02879600719900166,0.02879600719900166,0.0,0,False,0.0,0.8873872314232322,-0.10904896443450585,0.0,1.0
2010-11-01,-0.0008774822407654481,-0.0008774822407654481,0.0,0,False,0.0,0.912940440527598,-0.08339313200040355,0.0,1.0
2010-12-01,0.03890604372244977,0.03890604372244977,0.0,0,False,0.0,0.9121393515041586,-0.08419743824883674,0.0,1.0
2011-01-01,0.024458994502447373,0.024458994502447373,0.0,0,False,0.0,0.9393457634339667,-0.056881763620515335,0.0,1.0
2011-02-01,-0.0038420805049892426,-0.0038420805049892426,0.0,0,False,0.0,0.9623212162976952,-0.0338140398617518,0.0,1.0
2011-03-01,0.021350125705361434,0.021350125705361434,0.0,0,False,0.0,0.9586239007130201,-0.03752620410339347,0.0,1.0
2011-04-01,0.032028598438863964,0.032028598438863964,0.0,0,False,0.0,0.9790906414974065,-0.01697726757288498,0.0,1.0
2011-05-01,-0.04048764372275082,-0.04048764372275082,0.0,0,False,0.0,1.0134008197034834,0.0,0.0,1.0
2011-06-01,0.019268239878761584,0.019268239878761584,0.0,0,False,0.0,0.9723706083669852,-0.04048764372275071,0.0,1.0
2011-07-01,-0.039714507989476955,-0.039714507989476955,0.0,0,False,0.0,0.9911064785000577,-0.021999529475364876,0.0,1.0
2011-08-01,-0.07215286013138089,-0.07215286013138089,0.0,0,False,0.0,0.9517451723412447,-0.06084033697572777,0.0,1.0
2011-09-01,-0.12329609099003358,-0.12329609099003358,0.0,0,False,0.0,0.8830740360405899,-0.12860339278295296,0.0,1.0
2011-10-01,0.10817646326521246,0.10817646326521246,0.0,0,False,0.0,0.793998124429177,-0.21650139905995203,0.0,1.0
2011-11-01,0.012499187020711844,0.012499187020711844,0.0,0,False,0.0,0.879890033369138,-0.13174529143701508,0.0,1.0
2011-12-01,0.012803293526818305,0.012803293526818305,0.0,0,False,0.0,0.8908879434538791,-0.12089281345307279,0.0,1.0
2012-01-01,0.04957693693693699,0.04957693693693699,0.0,0,False,0.0,0.8857063358642849,-0.1260059014719973,0.0,1.0
2012-02-01,0.04335131512448087,0.04335131512448087,0.0,0,False,0.0,0.9296169430220743,-0.08267595116601922,0.0,1.0
2012-03-01,0.01242316146950806,0.01242316146950806,0.0,0,False,0.0,0.9699170600640807,-0.04290874725375282,0.0,1.0
2012-04-01,-0.016964225350647677,-0.016964225350647677,0.0,0,False,0.0,0.9719214693574966,-0.04093084349203857,0.0,1.0
2012-05-01,-0.11456156593043254,-0.11456156593043254,0.0,0,False,0.0,0.9554335745281833,-0.05720070878989525,0.0,1.0
2012-06-01,0.07982912110892038,0.07982912110892038,0.0,0,False,0.0,0.8459776080877243,-0.16520927194902646,0.0,1.0
2012-07-01,0.00046201260436773417,0.00046201260436773417,0.0,0,False,0.0,0.9101651545124483,-0.10187051676279624,0.0,1.0
2012-08-01,0.026720755249164174,0.026720755249164174,0.0,0,False,0.0,0.9105856622858894,-0.10145556962118618,0.0,1.0
2012-09-01,0.03751494780388498,0.03751494780388498,0.0,0,False,0.0,0.9359546192764251,-0.0764220818863347,0.0,1.0
2012-10-01,0.003616106079367354,0.003616106079367354,0.0,0,False,0.0,0.9710669079653851,-0.04177410449547991,0.0,1.0
2012-11-01,-0.0020795935998177972,-0.0020795935998177972,0.0,0,False,0.0,0.9745783889147512,-0.0383090580093387,0.0,1.0
2012-12-01,0.04449858738757406,0.04449858738757406,0.0,0,False,0.0,0.975097674683286,-0.037796639074561544,0.0,1.0
2013-01-01,0.027311664656631374,0.027311664656631374,0.0,0,False,0.0,0.9966412649971718,-0.016537932849921555,0.0,1.0
