date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_efa.us,w_gld.us,w_hyg.us,w_spy.us,w_tlt.us,w_vnq.us
2007-05-01,0.026920039253489198,0.022920039253489198,0.9999999999999999,4,True,0.003999999999999999,0.996,0.0,0.0,0.3294239802035271,0.0,0.0,0.4110496586755108,0.0,0.25952636112096195
2007-06-01,-0.025869765299732183,-0.025869765299732183,0.0,0,False,0.0,1.0228123590964753,0.0,0.0,0.3294239802035271,0.0,0.0,0.4110496586755108,0.0,0.25952636112096195
2007-07-01,-0.049820259324880434,-0.049820259324880434,0.0,0,False,0.0,0.9822726940219582,-0.041560632888566484,0.0,0.3294239802035271,0.0,0.0,0.4110496586755108,0.0,0.25952636112096195
2007-08-01,0.014771222695561997,0.013316456526420611,0.3636915422853466,4,True,0.0014547661691413864,0.9319778286028013,-0.09063517122670928,0.0,0.2999458559768682,0.3636915422853467,0.0,0.33636260173778515,0.0,0.0
2007-09-01,0.06696728630209745,0.06672325032038567,0.061008995427943885,3,True,0.00024403598171177557,0.9352499700163366,-0.08744242326112472,0.0,0.2796702536792708,0.4247005377132906,0.0,0.29562920860743863,0.0,0.0
2007-10-01,0.01911425750540678,0.01911425750540678,0.0,0,False,0.0,0.9976376036230823,-0.02656852904260887,0.0,0.2796702536792708,0.4247005377132906,0.0,0.29562920860743863,0.0,0.0
2007-11-01,-0.011572859323324317,-0.011797897023013973,0.0562594249224139,3,True,0.00022503769968965556,1.0164779083375066,-0.016488239299680685,0.0,0.29341829505669703,0.36844111279087666,0.0,0.33814059215242626,0.0,0.0
2007-12-01,0.008930093352663837,0.008930093352663837,0.0,0,False,0.0,1.0034316820799405,-0.03230158122105753,0.0,0.29341829505669703,0.36844111279087666,0.0,0.33814059215242626,0.0,0.0
2008-01-01,0.0030284962928048623,0.0011061903111769065,0.48057649540698893,4,True,0.0019223059816279558,1.0039925665155742,-0.031760670473297004,0.0,0.25585708895078346,0.26356641564222755,0.0,0.0,0.48057649540698893,0.0
2008-02-01,0.022142481875447186,0.021119053519644052,0.25585708895078346,3,True,0.0010234283558031338,1.0040686833188457,-0.031687264269881554,0.0,0.0,0.37000567488766395,0.0,0.0,0.629994325112336,0.0
2008-03-01,-0.04514492947098371,-0.045421281562082666,0.06908802277473838,2,True,0.0002763520910989535,1.0258159646635885,-0.010714426610992644,0.0,0.0,0.43909369766240236,0.0,0.0,0.5609063023375976,0.0
