date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_efv.us,w_gld.us,w_gsg.us,w_ief.us,w_ijh.us,w_ijr.us,w_lqd.us,w_mchi.us,w_mtum.us,w_qqq.us,w_shy.us,w_spy.us,w_tlt.us,w_vea.us,w_vnq.us,w_vtv.us,w_vwo.us
2015-01-01,0.03158050472808398,0.030830504728083977,0.1875,2,True,0.00075,1.0817038673208892,-0.03650142016707714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.1875,0.1875,0.0,0.0,0.25,0.0,0.1875,0.0,0.0
2015-02-01,0.007453535663913317,0.007453535663913317,0.0,0,False,0.0,1.1106088998698709,-0.016876033587091888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.1875,0.1875,0.0,0.0,0.25,0.0,0.1875,0.0,0.0
2015-03-01,0.00854581788868028,0.00854581788868028,0.0,0,False,0.0,1.118155660665258,-0.01019555280974549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.1875,0.1875,0.0,0.0,0.25,0.0,0.1875,0.0,0.0
2015-04-01,0.03170793111185913,0.029957931111859126,0.4375,6,True,0.00175,1.1257377206857033,-0.008803777310914085,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0
2015-05-01,-0.0003184996205677637,-0.0013184996205677637,0.25,2,True,0.001,1.1602711022484433,-0.017267236753183313,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,-0.022445544726920903,-0.023445544726920904,0.25,5,True,0.001,1.1587416547862788,-0.018562656528631538,0.0,0.0,0.0,0.0,0.25,0.1875,0.0,0.0,0.1875,0.1875,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,-0.013011343186462021,-0.01476134318646202,0.4375,4,True,0.00175,1.1307507842793203,-0.042270517101631544,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.1875,0.1875,0.1875,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,-0.04713179761405502,-0.04963179761405502,0.625,7,True,0.0025,1.1209492445215072,-0.0505722788464541,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.125,0.5,0.0,0.0,0.0,0.0
2015-09-01,0.012341228653527825,0.008341228653527825,1.0,6,True,0.004,1.0611848129666528,-0.10119188391285805,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,-0.012818724094779466,-0.016818724094779466,1.0,2,True,0.004,1.0699840128375768,-0.09373908948683374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2015-11-01,0.0017802148783936378,-0.0022197851216063623,1.0,6,True,0.004,1.061253147606322,-0.10113400546605578,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.0,0.0,0.125,0.0,0.0
2015-12-01,-0.02485602022608814,-0.02735602022608814,0.625,4,True,0.0025,1.056242612032874,-0.10537785628669494,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.0,0.5,0.0,0.125,0.0,0.0
