date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_ivv.us,w_xlk.us
2005-08-01,-0.011786052227201083,-0.015786052227201083,1.0,3,True,0.004,0.996,0.0,0.0,0.2,0.8
2005-09-01,0.002814294425866093,0.002814294425866093,0.0,0,False,0.0,0.9842610919817079,-0.02642376436408389,0.0,0.2,0.8
2005-10-01,-0.022135660645399714,-0.022135660645399714,0.0,0,False,0.0,0.9889912219821128,-0.02174498329940644,0.0,0.2,0.8
2005-11-01,0.0756659126137524,0.0756659126137524,0.0,0,False,0.0,0.9670992479110374,-0.043399304373750724,0.0,0.2,0.8
2005-12-01,-0.026470110511302415,-0.026470110511302415,0.0,0,False,0.0,1.0402756950922996,0.0,0.0,0.2,0.8
2006-01-01,0.018834689698151764,0.018834689698151764,0.0,0,False,0.0,0.9938035691486989,-0.04467289408263775,0.0,0.2,0.8
2006-02-01,0.014167222779196376,0.014167222779196376,0.0,0,False,0.0,1.012521550994531,-0.026679604482450325,0.0,0.2,0.8
2006-03-01,0.007441926762448148,0.007441926762448148,0.0,0,False,0.0,1.0268661693762078,-0.012890357603617786,0.0,0.2,0.8
2006-04-01,-0.02043935654590845,-0.02043935654590845,0.0,0,False,0.0,1.0296946178304172,-0.010171416396442479,0.0,0.2,0.8
2006-05-01,-0.03522355073832855,-0.03522355073832855,0.0,0,False,0.0,1.0086483224031788,-0.031811452353075476,0.0,0.2,0.8
2006-06-01,-0.01303135585936366,-0.01303135585936366,0.0,0,False,0.0,0.9731201470418803,-0.0659144907853857,0.0,0.2,0.8
2006-07-01,-0.038380237185289025,-0.038380237185289025,0.0,0,False,0.0,0.9538843760099569,-0.08437865991610316,0.0,0.2,0.8
2006-08-01,0.03261833008331849,0.02941833008331849,0.8,2,True,0.0032,0.9143387903956371,-0.12233795876324982,0.0,1.0,0.0
2006-09-01,0.014807984833537803,0.014007984833537802,0.19999999999999998,2,True,0.0007999999999999999,0.9434076644728491,-0.09443512052971004,0.0,0.8,0.2
2006-10-01,0.031370863749784705,0.031370863749784705,0.0,0,False,0.0,0.9617924957345576,-0.07678775753643441,0.0,0.8,0.2
2006-11-01,0.0247612219204175,0.0247612219204175,0.0,0,False,0.0,0.9919647570738115,-0.047825792065977035,0.0,0.8,0.2
2006-12-01,0.006828444683155022,0.006828444683155022,0.0,0,False,0.0,1.0165270165609492,-0.024248795196424866,0.0,0.8,0.2
2007-01-01,0.021201009344893506,0.021201009344893506,0.0,0,False,0.0,1.0202040297427333,-0.02071927755080183,0.0,0.8,0.2
2007-02-01,-0.027533840689423262,-0.027533840689423262,0.0,0,False,0.0,1.041833384911007,0.0,0.0,0.8,0.2
2007-03-01,0.01226995702272653,0.01226995702272653,0.0,0,False,0.0,1.0131477104659445,-0.03744627757365704,0.0,0.8,0.2
2007-04-01,0.045734946785284114,0.045734946785284114,0.0,0,False,0.0,1.024142839755536,-0.027000216730872273,0.0,0.8,0.2
2007-05-01,0.03757891292940809,0.03757891292940809,0.0,0,False,0.0,1.0709819580322861,-0.0061984351111337155,0.0,0.8,0.2
2007-06-01,-0.010206312128298567,-0.010206312128298567,0.0,0,False,0.0,1.1112282957821482,0.0,0.0,0.8,0.2
2007-07-01,-0.028728537579839977,-0.028728537579839977,0.0,0,False,0.0,1.089766342080989,-0.020685544987553706,0.0,0.8,0.2
2007-08-01,0.021209190470951357,0.021209190470951357,0.0,0,False,0.0,1.0584589487692706,-0.05303556273515542,0.0,0.8,0.2
2007-09-01,0.033080180620103095,0.033080180620103095,0.0,0,False,0.0,1.0667871573434329,-0.045584619687221495,0.0,0.8,0.2
2007-10-01,-0.010442092005391281,-0.010442092005391281,0.0,0,False,0.0,1.1020766691915602,-0.014012386519870135,0.0,0.8,0.2
2007-11-01,-0.03302193345090006,-0.03302193345090006,0.0,0,False,0.0,1.0905686832148667,-0.02460592362521663,0.0,0.8,0.2
2007-12-01,-0.015175273889046848,-0.015175273889046848,0.0,0,False,0.0,1.0615832328843426,-0.050530229896423084,0.0,0.8,0.2
2008-01-01,-0.04785590140158065,-0.04785590140158065,0.0,0,False,0.0,1.0526331568825038,-0.05853509125881173,0.0,0.8,0.2
2008-02-01,-0.04707470315565543,-0.04707470315565543,0.0,0,False,0.0,1.0022584483147003,-0.10358974310457791,0.0,0.8,0.2
2008-03-01,0.02864047762979762,0.02864047762979762,0.0,0,False,0.0,0.9554401332002629,-0.1454635910623714,0.0,0.8,0.2
2008-04-01,0.0,-0.004,1.0,3,True,0.004,0.9788731773819487,-0.12450530311771224,1.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,0,False,0.0,0.9788731773819487,-0.12450530311771224,1.0,0.0,0.0
2008-06-01,-0.08976186983521595,-0.09376186983521595,1.0,2,True,0.004,0.9788731773819487,-0.12450530311771224,0.0,0.0,1.0
2008-07-01,0.0,-0.004,1.0,2,True,0.004,0.8838938852464676,-0.20945386284906264,1.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,0,False,0.0,0.8838938852464676,-0.20945386284906264,1.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,0,False,0.0,0.8838938852464676,-0.20945386284906264,1.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,0,False,0.0,0.8838938852464676,-0.20945386284906264,1.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,0,False,0.0,0.8838938852464676,-0.20945386284906264,1.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,0,False,0.0,0.8838938852464676,-0.20945386284906264,1.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,0,False,0.0,0.8838938852464676,-0.20945386284906264,1.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,0,False,0.0,0.8838938852464676,-0.20945386284906264,1.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,0,False,0.0,0.8838938852464676,-0.20945386284906264,1.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,0,False,0.0,0.8838938852464676,-0.20945386284906264,1.0,0.0,0.0
2009-05-01,0.07833408617119964,0.07433408617119963,1.0,2,True,0.004,0.8803583097054819,-0.21261604739766626,0.0,1.0,0.0
2009-06-01,-0.02517564944374917,-0.02517564944374917,0.0,0,False,0.0,0.9493203733994826,-0.1509370450046955,0.0,1.0,0.0
2009-07-01,0.08679415109710997,0.08679415109710997,0.0,0,False,0.0,0.9254206164689681,-0.17231275631533105,0.0,1.0,0.0
2009-08-01,-0.0017075361089631258,-0.0017075361089631258,0.0,0,False,0.0,0.9907510511311692,-0.11388184778359767,0.0,1.0,0.0
2009-09-01,0.028104466553635854,0.028104466553635854,0.0,0,False,0.0,0.9890593079363694,-0.11539492652531502,0.0,1.0,0.0
2009-10-01,0.012643629270900902,0.012643629270900902,0.0,0,False,0.0,1.0168562921758297,-0.09053357282466878,0.0,1.0,0.0
2009-11-01,0.06609640926481597,0.062096409264815966,1.0,2,True,0.004,1.0232537753894726,-0.08481172574952689,0.0,0.0,1.0
2009-12-01,0.05299292756700558,0.05299292756700558,0.0,0,False,0.0,1.0865236270065461,-0.028223782752225368,0.0,0.0,1.0
2010-01-01,-0.0888710809005473,-0.0888710809005473,0.0,0,False,0.0,1.1132140627002574,-0.021254111365103356,0.0,0.0,1.0
2010-02-01,0.034263181783118185,0.03346318178311818,0.19999999999999998,2,True,0.0007999999999999999,1.0134701004538567,-0.10894972736192099,0.0,0.2,0.8
2010-03-01,0.05036383715730098,0.05036383715730098,0.0,0,False,0.0,1.0481948107374621,-0.07841950989262558,0.0,0.2,0.8
2010-04-01,0.0268366788143843,0.0268366788143843,0.0,0,False,0.0,1.1009859234945714,-0.032005180161512325,0.0,0.2,0.8
2010-05-01,-0.0983328268203178,-0.0983328268203178,0.0,0,False,0.0,1.1154670482170377,-0.02756770265459374,0.0,0.2,0.8
2010-06-01,-0.05009416768932704,-0.05009416768932704,0.0,0,False,0.0,1.005780020140941,-0.12318971934394307,0.0,0.2,0.8
2010-07-01,0.10047739939571457,0.10047739939571457,0.0,0,False,0.0,0.9553963071534256,-0.16711280057485378,0.0,0.2,0.8
2010-08-01,-0.04913982696418916,-0.04913982696418916,0.0,0,False,0.0,1.029365991514615,-0.10262814348682991,0.0,0.2,0.8
2010-09-01,0.07957356658164196,0.07957356658164196,0.0,0,False,0.0,0.9787831248087658,-0.14672484123842022,0.0,0.2,0.8
2010-10-01,0.053425341744104585,0.053425341744104585,0.0,0,False,0.0,1.0566683889597235,-0.07882669358024474,0.0,0.2,0.8
2010-11-01,0.0071215991889115315,0.0071215991889115315,0.0,0,False,0.0,1.1131212587500892,-0.029612694879222468,0.0,0.2,0.8
2010-12-01,0.042952348587279365,0.042952348587279365,0.0,0,False,0.0,1.1210484622035644,-0.0233023649312587,0.0,0.2,0.8
