date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_cbu0.uk,w_cmod.uk,w_cndx.uk,w_cspx.uk,w_dtla.uk,w_eimi.uk,w_ibta.uk,w_igln.uk,w_ihya.uk,w_iues.uk,w_lqda.uk,w_xres.uk
2018-06-01,0.0027385405969611474,-0.0012614594030388527,1.0,5,True,0.004,0.996,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.4,0.0,0.0,0.19999999999999998,0.0,0.19999999999999998
2018-07-01,0.003648475775654761,0.002048475775654761,0.39999999999999997,4,True,0.0015999999999999999,1.0063407344905722,0.0,0.0,0.0,0.0,0.06666666666666665,0.0,0.0,0.0,0.8,0.0,0.0,0.06666666666666665,0.0,0.06666666666666665
2018-08-01,0.0035010503150945116,0.0027010503150945117,0.19999999999999996,4,True,0.0007999999999999998,1.0075896074719386,-0.003595191757451266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,-0.00041783555565363755,-0.0012178355556536373,0.19999999999999996,4,True,0.0007999999999999998,1.011117229384664,-0.00010672838959224773,0.0,0.0,0.0,0.06666666666666665,0.0,0.0,0.0,0.8,0.0,0.0,0.06666666666666665,0.0,0.06666666666666665
2018-10-01,-0.01699467634160562,-0.017261343008272284,0.06666666666666665,2,True,0.0002666666666666666,1.009616889871607,-0.0015904133082539351,0.0,0.0,0.0,0.06666666666666665,0.06666666666666665,0.0,0.0,0.8,0.0,0.0,0.06666666666666665,0.0,0.0
2018-11-01,0.003187886033074294,0.0023878860330742943,0.19999999999999996,4,True,0.0007999999999999998,0.9916648105771412,-0.019343214641563966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-12-01,0.00794438927507457,0.00794438927507457,0.0,0,False,0.0,0.9946285428263257,-0.01641238145161039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.0014148273910581377,-0.0025851726089418624,1.0,2,True,0.004,1.001569480648312,-0.009548491859803332,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,-0.00032348407248137265,-0.0019234840724813725,0.39999999999999997,4,True,0.0015999999999999999,0.9973762231372963,-0.013695201904439736,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.13333333333333333,0.13333333333333333
2019-03-01,0.02162726929992057,0.02082726929992057,0.2,4,True,0.0008,0.9962559449445879,-0.01480304439259783,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666665,0.0,0.0,0.06666666666666665,0.06666666666666665
2019-04-01,0.00475372716141551,0.0031537271614155106,0.39999999999999997,4,True,0.0015999999999999999,1.0161737569726592,-0.008846127606023102,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.19999999999999998,0.19999999999999998
2019-05-01,0.017631942363960918,0.015765275697294252,0.4666666666666666,5,True,0.0018666666666666664,1.0190984949383424,-0.005993401543641141,0.0,0.8,0.0,0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666665,0.06666666666666665
2019-06-01,0.012085644937966607,0.01181897827129994,0.06666666666666665,2,True,0.0002666666666666666,1.0346506654907077,0.0,0.0,0.8,0.0,0.0,0.0,0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.06666666666666665,0.06666666666666665
