date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_iau.us,w_ief.us,w_ivv.us,w_lqd.us,w_spy.us,w_tlt.us,w_vea.us,w_vwo.us
2006-03-01,0.011009837462738654,0.009009837462738654,0.5,4,True,0.002,0.998,0.0,0.5,0.0,0.30000000000000004,0.0,0.15000000000000002,0.0,0.0,0.05,0.0,0.0
2006-04-01,0.032674813494234456,0.032674813494234456,0.0,0,False,0.0,1.0070528094093982,-0.002369666750520749,0.5,0.0,0.30000000000000004,0.0,0.15000000000000002,0.0,0.0,0.05,0.0,0.0
2006-05-01,-0.01298416761197161,-0.01298416761197161,0.0,0,False,0.0,1.0399580721356951,-0.0016494481890126922,0.5,0.0,0.30000000000000004,0.0,0.15000000000000002,0.0,0.0,0.05,0.0,0.0
2006-06-01,-0.002413175932671569,-0.002413175932671569,0.0,0,False,0.0,1.0264550822176624,-0.04058608341812908,0.5,0.0,0.30000000000000004,0.0,0.15000000000000002,0.0,0.0,0.05,0.0,0.0
2006-07-01,0.009837505935031283,0.009837505935031283,0.0,0,False,0.0,1.0176517903558289,-0.04881440326406661,0.5,0.0,0.30000000000000004,0.0,0.15000000000000002,0.0,0.0,0.05,0.0,0.0
2006-08-01,-0.007086162120424238,-0.0074861621204242385,0.1,3,True,0.0004,1.0272518807048965,-0.03984132646713601,0.5,0.0,0.35000000000000003,0.0,0.05,0.0,0.0,0.1,0.0,0.0
2006-09-01,0.003628350814212822,0.002428350814212822,0.30000000000000004,3,True,0.0012000000000000001,1.0187486402109034,-0.047789192289334204,0.5,0.0,0.05,0.0,0.30000000000000004,0.0,0.0,0.15000000000000002,0.0,0.0
2006-10-01,0.009519886117269139,0.00911988611726914,0.1,2,True,0.0004,1.0241474145997074,-0.04274302965558929,0.5,0.0,0.05,0.0,0.2,0.0,0.0,0.25,0.0,0.0
2006-11-01,0.014090666662613294,0.013290666662613294,0.2,3,True,0.0008,1.0326568355834655,-0.034789387011789574,0.5,0.0,0.1,0.0,0.35000000000000003,0.0,0.0,0.05,0.0,0.0
2006-12-01,-0.007000476573986431,-0.0076004765739864305,0.15000000000000002,2,True,0.0006000000000000001,1.0465793342352432,-0.02177621264935281,0.5,0.0,0.25,0.0,0.2,0.0,0.0,0.05,0.0,0.0
2007-01-01,0.013096913348822082,0.012696913348822083,0.1,2,True,0.0004,1.0352334829861851,-0.03238102894613237,0.5,0.0,0.15000000000000002,0.0,0.30000000000000004,0.0,0.0,0.05,0.0,0.0
2007-02-01,0.003832995520973653,0.003232995520973653,0.15000000000000002,3,True,0.0006000000000000001,1.0477433060724888,-0.02068826365040577,0.5,0.1,0.2,0.0,0.15000000000000002,0.0,0.0,0.05,0.0,0.0
2007-03-01,-0.0005197156001742753,-0.0011197156001742752,0.15,4,True,0.0006,1.0511282458909115,-0.017524405411650235,0.5,0.2,0.15000000000000002,0.0,0.05,0.0,0.0,0.1,0.0,0.0
2007-04-01,0.012013278483550839,0.01161327848355084,0.1,3,True,0.0004,1.0526399680513816,-0.016111418809619193,0.5,0.15000000000000002,0.15000000000000002,0.0,0.15000000000000002,0.0,0.0,0.05,0.0,0.0
