date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_gld.us,w_hyg.us,w_ief.us,w_lqd.us,w_shy.us,w_tlt.us
2007-05-01,-0.019225339782332096,-0.023225339782332096,1.0,5,True,0.004,0.996,0.0,0.0,0.0,0.22222222222222224,0.0,0.3333333333333333,0.22222222222222224,0.0,0.22222222222222224
2007-06-01,0.003354321630265167,-0.0006456783697348333,1.0,5,True,0.004,0.9729441553304903,-0.029961945260971623,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2007-07-01,0.004721563551973951,0.004721563551973951,0.0,0,False,0.0,0.979028418085908,-0.023895855675612254,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2007-08-01,0.009705211685654377,0.008371878352321043,0.33333333333333337,4,True,0.0013333333333333335,0.9823394283637811,-0.020594735100939676,0.0,0.11111111111111112,0.11111111111111112,0.0,0.0,0.0,0.6666666666666666,0.11111111111111112
2007-09-01,0.039179643692190146,0.03784631035885681,0.33333333333333337,4,True,0.0013333333333333335,0.9930823125439286,-0.00988393899275275,0.0,0.22222222222222224,0.22222222222222224,0.0,0.0,0.0,0.3333333333333333,0.22222222222222224
2007-10-01,0.03659940854448124,0.03659940854448124,0.0,0,False,0.0,1.030614935808141,-0.0015123388723108366,0.0,0.22222222222222224,0.22222222222222224,0.0,0.0,0.0,0.3333333333333333,0.22222222222222224
2007-11-01,0.01877269485305666,0.01877269485305666,0.0,0,False,0.0,1.0683348328958275,-0.003224649274243596,0.0,0.22222222222222224,0.22222222222222224,0.0,0.0,0.0,0.3333333333333333,0.22222222222222224
2007-12-01,0.03778867141030188,0.036455338076968546,0.3333333333333333,2,True,0.0013333333333333333,1.083104448260349,-0.02093693313457412,0.0,0.22222222222222224,0.22222222222222224,0.0,0.3333333333333333,0.0,0.0,0.22222222222222224
2008-01-01,0.019221488936213227,0.019221488936213227,0.0,0,False,0.0,1.0827473801687688,-0.02125970180326875,0.0,0.22222222222222224,0.22222222222222224,0.0,0.3333333333333333,0.0,0.0,0.22222222222222224
2008-02-01,0.05028171537148854,0.05028171537148854,0.0,0,False,0.0,1.1035593969573965,-0.009451877050079549,0.0,0.22222222222222224,0.22222222222222224,0.0,0.3333333333333333,0.0,0.0,0.22222222222222224
2008-03-01,-0.027934439476431424,-0.027934439476431424,0.0,0,False,0.0,1.155656490272464,0.0,0.0,0.22222222222222224,0.22222222222222224,0.0,0.3333333333333333,0.0,0.0,0.22222222222222224
2008-04-01,-0.0068300351717047614,-0.0068300351717047614,0.0,0,False,0.0,1.1233738739894028,-0.05242604127397166,0.0,0.22222222222222224,0.22222222222222224,0.0,0.3333333333333333,0.0,0.0,0.22222222222222224
2008-05-01,0.024053612786580313,0.024053612786580313,0.0,0,False,0.0,1.1157011909190808,-0.058898004739862064,0.0,0.22222222222222224,0.22222222222222224,0.0,0.3333333333333333,0.0,0.0,0.22222222222222224
2008-06-01,-0.001219145563697288,-0.005219145563697288,1.0,5,True,0.004,1.1364522553535017,-0.041394332339084294,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2008-07-01,-0.01241544748613308,-0.016415447486133078,1.0,5,True,0.004,1.1260043816590835,-0.050207189096853955,0.0,0.11111111111111112,0.11111111111111112,0.0,0.6666666666666666,0.0,0.0,0.11111111111111112
2008-08-01,0.017915711425900982,0.01658237809256765,0.33333333333333337,4,True,0.0013333333333333335,1.1105418340115865,-0.06324995947417789,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2008-09-01,-0.0023733020591126808,-0.0023733020591126808,0.0,0,False,0.0,1.1279587038873828,-0.0485587042127259,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2008-10-01,0.007125965490804909,0.0031259654908049085,1.0,2,True,0.004,1.1207805903041617,-0.05461349475194599,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2008-11-01,0.00867571766883568,0.00867571766883568,0.0,0,False,0.0,1.1310400897738937,-0.045959533010288656,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2008-12-01,0.019853684775775093,0.015853684775775093,1.0,2,True,0.004,1.1362892635678477,-0.04153181708494502,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2009-01-01,-0.021380880307337313,-0.022714213640670645,0.33333333333333337,4,True,0.0013333333333333335,1.1579345323251202,-0.02775799988590799,0.0,0.0,0.11111111111111112,0.0,0.6666666666666666,0.11111111111111112,0.0,0.11111111111111112
2009-02-01,-0.010007938351620024,-0.010007938351620024,0.0,0,False,0.0,1.1307648255109624,-0.050570628197862955,0.0,0.0,0.11111111111111112,0.0,0.6666666666666666,0.11111111111111112,0.0,0.11111111111111112
2009-03-01,0.02344021204239377,0.02210687870906044,0.33333333333333337,4,True,0.0013333333333333335,1.1152239111085693,-0.06361931901792572,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2009-04-01,-0.035095396381793376,-0.035095396381793376,0.0,0,False,0.0,1.1398431760649552,-0.04294813016023413,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2009-05-01,-0.005258216784612342,-0.006591550117945676,0.33333333333333337,4,True,0.0013333333333333335,1.0983734747505562,-0.07776752989701019,0.0,0.0,0.11111111111111112,0.11111111111111112,0.6666666666666666,0.11111111111111112,0.0,0.0
2009-06-01,-0.0006085913143328972,-0.003275257980999564,0.6666666666666666,5,True,0.0026666666666666666,1.0896843942727568,-0.08506318327555207,0.0,0.0,0.22222222222222224,0.22222222222222224,0.0,0.22222222222222224,0.3333333333333333,0.0
2009-07-01,0.0118344802662708,0.010501146932937466,0.33333333333333337,4,True,0.0013333333333333335,1.087569193519285,-0.08683917920087336,0.0,0.0,0.11111111111111112,0.11111111111111112,0.0,0.11111111111111112,0.6666666666666666,0.0
2009-08-01,0.0020551578825630645,0.0020551578825630645,0.0,0,False,0.0,1.1041792269138964,-0.07289281898902977,0.0,0.0,0.11111111111111112,0.11111111111111112,0.0,0.11111111111111112,0.6666666666666666,0.0
2009-09-01,0.02005472102871986,0.01872138769538653,0.33333333333333337,4,True,0.0013333333333333335,1.1049732249031097,-0.07222615073485028,0.0,0.0,0.22222222222222224,0.22222222222222224,0.0,0.22222222222222224,0.3333333333333333,0.0
2009-10-01,0.019623503242354054,0.019623503242354054,0.0,0,False,0.0,1.1271331546727466,-0.05361990501009606,0.0,0.0,0.22222222222222224,0.22222222222222224,0.0,0.22222222222222224,0.3333333333333333,0.0
2009-11-01,0.04379183566199841,0.041569613439776186,0.5555555555555556,4,True,0.0022222222222222222,1.1474663870584472,-0.03654741777391124,0.0,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.3333333333333333,0.0,0.0,0.0
2009-12-01,-0.015094869103575739,-0.015094869103575739,0.0,0,False,0.0,1.1950544552937155,0.0,0.0,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.3333333333333333,0.0,0.0,0.0
2010-01-01,-0.024268396131286004,-0.025601729464619336,0.3333333333333333,2,True,0.0013333333333333333,1.1608613631831592,-0.030059983697897086,0.0,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.0,0.0,0.3333333333333333,0.0
2010-02-01,0.004505217264201155,0.0027274394864233767,0.4444444444444444,5,True,0.0017777777777777779,1.1291678829547094,-0.05654098798006202,0.0,0.0,0.11111111111111112,0.11111111111111112,0.0,0.11111111111111112,0.6666666666666666,0.0
2010-03-01,0.008707748797074527,0.00692997101929675,0.4444444444444444,5,True,0.0017777777777777779,1.132238576209232,-0.05397531703966363,0.0,0.22222222222222224,0.0,0.22222222222222224,0.0,0.22222222222222224,0.3333333333333333,0.0
2010-04-01,0.013321774114211317,0.013321774114211317,0.0,0,False,0.0,1.1420978253092195,-0.04573757174461268,0.0,0.22222222222222224,0.0,0.22222222222222224,0.0,0.22222222222222224,0.3333333333333333,0.0
2010-05-01,-0.0414553517734615,-0.0414553517734615,0.0,0,False,0.0,1.1595155342256938,-0.031184470568029976,0.0,0.22222222222222224,0.0,0.22222222222222224,0.0,0.22222222222222224,0.3333333333333333,0.0
2010-06-01,0.021827322561871997,0.018716211450760887,0.7777777777777778,6,True,0.003111111111111111,1.1079895734813199,-0.07423620162688693,0.0,0.0,0.22222222222222224,0.0,0.3333333333333333,0.22222222222222224,0.0,0.22222222222222224
2010-07-01,-0.003961865342511972,-0.003961865342511972,0.0,0,False,0.0,1.1321740192968872,-0.05402925658369351,0.0,0.0,0.22222222222222224,0.0,0.3333333333333333,0.22222222222222224,0.0,0.22222222222222224
2010-08-01,0.03546241466002721,0.03457352577113832,0.22222222222222224,2,True,0.0008888888888888889,1.135501309676453,-0.05124918982692894,0.0,0.0,0.22222222222222224,0.22222222222222224,0.3333333333333333,0.0,0.0,0.22222222222222224
2010-09-01,0.01753103432609741,0.01753103432609741,0.0,0,False,0.0,1.1747238000312328,-0.01847743590292339,0.0,0.0,0.22222222222222224,0.22222222222222224,0.3333333333333333,0.0,0.0,0.22222222222222224
2010-10-01,-0.004077588403666087,-0.00541092173699942,0.33333333333333326,4,True,0.001333333333333333,1.1937241660622062,-0.0035651789994992633,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
2010-11-01,0.013017958710420958,0.011684625377087624,0.3333333333333333,2,True,0.0013333333333333333,1.187271508045168,-0.017058948835555032,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
2010-12-01,0.01512338217508168,0.013790048841748347,0.33333333333333326,4,True,0.001333333333333333,1.2011237230356058,-0.02326576883638054,0.0,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.3333333333333333,0.0,0.0,0.0
2011-01-01,0.0003390099678936858,-0.0009943233654396474,0.3333333333333333,2,True,0.0013333333333333333,1.2090914216315722,-0.016786566225506783,0.0,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.0,0.0,0.3333333333333333,0.0
2011-02-01,0.030226423327688844,0.030226423327688844,0.0,0,False,0.0,1.2078886472546992,-0.01776464274146239,0.0,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.0,0.0,0.3333333333333333,0.0
