date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_efa.us,w_gld.us,w_hyg.us,w_ief.us,w_ijr.us,w_ivv.us,w_lqd.us,w_tlt.us,w_vnq.us,w_vwo.us
2007-05-01,-0.02219893012959417,-0.02619893012959417,0.9999999999999999,2,True,0.003999999999999999,0.996,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-01,-0.0027969529277176437,-0.0027969529277176437,0.0,0,False,0.0,0.9738898655909245,-0.023239921986127454,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-01,0.01432208352967934,0.01432208352967934,0.0,0,False,0.0,0.9735389574929096,-0.02359186426759352,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-01,0.01951814668146978,0.01951814668146978,0.0,0,False,0.0,0.9874820637615198,-0.009607665388575715,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-01,0.0002460393488257217,0.0002460393488257217,0.0,0,False,0.0,1.0125512206645277,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-01,0.03137915775564189,0.028045824422308553,0.8333333333333334,6,True,0.0033333333333333335,1.0094243469471544,-0.019847744218302377,1.1102230246251565e-16,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666
2007-11-01,-0.020247614659931135,-0.0209142813265978,0.16666666666666666,2,True,0.0006666666666666666,1.040405166617214,-0.017014847065605854,1.1102230246251565e-16,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666
2007-12-01,0.013500761445216116,0.012167428111882782,0.3333333333333333,4,True,0.0013333333333333333,1.0196515773236934,-0.038247537193631165,1.1102230246251565e-16,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666
2008-01-01,0.0054350420404709054,0.004101708707137572,0.3333333333333333,3,True,0.0013333333333333333,1.0150333578036377,-0.04260351927218786,1.1102230246251565e-16,0.16666666666666666,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666
2008-02-01,0.03520016491918937,0.0345334982525227,0.16666666666666666,2,True,0.0006666666666666666,1.01850991371788,-0.03932437344731454,1.1102230246251565e-16,0.16666666666666666,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0
2008-03-01,-0.02293578628876062,-0.02293578628876062,0.0,0,False,0.0,1.0532238964671796,-0.006581562917283623,1.1102230246251565e-16,0.16666666666666666,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0
2008-04-01,-0.01003104829883929,-0.010697714965505957,0.16666666666666669,2,True,0.0006666666666666668,1.0283813333447502,-0.03906361105174139,1.1102230246251565e-16,0.16666666666666666,0.0,0.16666666666666666,0.0,0.5,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
2008-05-01,0.009385407340561796,0.008052074007228462,0.3333333333333333,4,True,0.0013333333333333333,1.016708169732984,-0.04997120663421828,1.1102230246251565e-16,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
2008-06-01,-0.04820005546462928,-0.04953338879796261,0.3333333333333333,3,True,0.0013333333333333333,1.0253145084565747,-0.04192930253993199,1.1102230246251565e-16,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666
2008-07-01,-0.021451945461884614,-0.024118612128551282,0.6666666666666666,6,True,0.0026666666666666666,0.9719941849575302,-0.09175268756198207,1.1102230246251565e-16,0.16666666666666666,0.0,0.16666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-01,0.0008807112569579143,0.00021404459029124778,0.16666666666666663,2,True,0.0006666666666666665,0.9505089233667442,-0.11182886846805595,1.1102230246251565e-16,0.16666666666666666,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,-0.01203358558421345,-0.013366918917546784,0.33333333333333326,4,True,0.001333333333333333,0.9535482308717126,-0.10898888967416953,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0
2008-10-01,-0.0201022248923934,-0.020768891559060067,0.16666666666666663,2,True,0.0006666666666666665,0.9401903167723685,-0.12147074375134925,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
2008-11-01,0.10237336983044223,0.10237336983044223,0.0,0,False,0.0,0.9231440638892323,-0.13739904209700637,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
2008-12-01,0.026314632943273256,0.026314632943273256,0.0,0,False,0.0,1.0176494325485417,-0.04909167521750979,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
2009-01-01,-0.023454980717242224,-0.024788314050575556,0.33333333333333326,3,True,0.001333333333333333,1.0526918275380974,-0.02329773078639419,1.1102230246251565e-16,0.0,0.0,0.16666666666666666,0.0,0.5,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0
2009-02-01,-0.012135109134634815,-0.012135109134634815,0.0,0,False,0.0,1.0282043659336666,-0.04601754174214423,1.1102230246251565e-16,0.0,0.0,0.16666666666666666,0.0,0.5,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0
2009-03-01,0.014775536811133045,0.014108870144466379,0.16666666666666663,2,True,0.0006666666666666665,1.0138168463026846,-0.05936648461823668,1.1102230246251565e-16,0.0,0.0,0.16666666666666666,0.0,0.6666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
2009-04-01,-0.014383648213371899,-0.01571698154670523,0.33333333333333326,4,True,0.001333333333333333,1.0267398558519159,-0.0473763347741728,1.1102230246251565e-16,0.0,0.0,0.16666666666666666,0.0,0.5,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666
2009-05-01,0.041327046471005636,0.039327046471005635,0.49999999999999994,6,True,0.0019999999999999996,1.0099476477767761,-0.06295638137760518,1.1102230246251565e-16,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666
2009-06-01,-0.024690757118474925,-0.026690757118474923,0.49999999999999994,5,True,0.0019999999999999996,1.0495824295474308,-0.02618267393302698,1.1102230246251565e-16,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666
2009-07-01,0.06703634647293633,0.06503634647293632,0.49999999999999994,6,True,0.0019999999999999996,1.0216201098142488,-0.05212650708669209,1.1102230246251565e-16,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666
