date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_ief.us,w_lqd.us,w_spy.us,w_tlt.us,w_vea.us,w_vwo.us
2007-08-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,0,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-01,-0.002684076652546663,-0.006684076652546663,1.0,2,True,0.004,0.996,-0.0040000000000000036,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2008-08-01,0.01692770984387182,0.012927709843871819,1.0,2,True,0.004,0.9893533530154478,-0.024889868043903918,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,0.014958849744640679,0.010958849744640679,1.0,2,True,0.004,1.0040161242085766,-0.01043818936975216,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2008-10-01,-0.03208566433286264,-0.03208566433286264,0.0,0,False,0.0,1.0149589103496017,-0.02748374508300422,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2008-11-01,0.08684476562369814,0.08284476562369814,1.0,2,True,0.004,0.9836424256066039,-0.06398650374165193,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,0.06356878679544953,0.059568786795449524,1.0,2,True,0.004,1.060531193609752,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2009-01-01,-0.09422569789362178,-0.09422569789362178,0.0,0,False,0.0,1.1268116509771104,-0.04946746661742596,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2009-02-01,-0.008041777327458588,-0.012041777327458588,1.0,2,True,0.004,1.0047775884031975,-0.15241044431628303,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,0.022508905287974112,0.022508905287974112,0.0,0,False,0.0,0.9854667438838977,-0.16870028827269767,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,0.1535018074934964,0.1495018074934964,1.0,2,True,0.004,1.0036179274004837,-0.15338868722832488,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-05-01,0.20315833150277052,0.20315833150277052,0.0,0,False,0.0,1.157675093289334,-0.023432320473431467,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-06-01,-0.04132298466769191,-0.04132298466769191,0.0,0,False,0.0,1.392866433664309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-07-01,0.12740384615384626,0.12740384615384626,0.0,0,False,0.0,1.3353090353818566,-0.041322984667691576,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-08-01,-0.05838763926844648,-0.05838763926844648,0.0,0,False,0.0,1.4503221104770436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-09-01,0.035042039838383054,0.031042039838383054,1.0,2,True,0.004,1.360178661362388,-0.062154088711372735,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2009-10-01,0.020146734713303527,0.016146734713303527,1.0,2,True,0.004,1.4022107278163634,-0.05192970103017325,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-11-01,0.07822385868960602,0.07822385868960602,0.0,0,False,0.0,1.4035967883719287,-0.09110370917020716,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-12-01,0.026300899329663396,0.026300899329663396,0.0,0,False,0.0,1.5133915452027191,-0.020006334152830485,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-01-01,-0.07209711105633898,-0.07209711105633898,0.0,0,False,0.0,1.4305449147224865,-0.0736535038920626,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-02-01,0.006735007007622862,0.006735007007622862,0.0,0,False,0.0,1.3274067591346588,-0.14044041009860686,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-03-01,0.08972240352168415,0.08972240352168415,0.0,0,False,0.0,1.3363468529593967,-0.1346512702371515,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-04-01,-0.019494214496890594,-0.019494214496890594,0.0,0,False,0.0,1.4562471045455525,-0.05701010231839232,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-05-01,-0.10666491494267238,-0.11066491494267239,1.0,2,True,0.004,1.419053159453221,-0.08109496701444152,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-06-01,0.04895674526074245,0.04495674526074245,1.0,2,True,0.004,1.2575687381414027,-0.18566388080296115,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2010-07-01,-0.02802093373903547,-0.02802093373903547,0.0,0,False,0.0,1.3191352105024643,-0.14579663485881034,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2010-08-01,-0.018635468847526426,-0.022635468847526426,1.0,2,True,0.004,1.3046464025889295,-0.15517883342199745,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-09-01,-0.013061711518634,-0.017061711518634,1.0,2,True,0.004,1.2701115208941578,-0.17754182693741594,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2010-10-01,0.02588807843861418,0.02188807843861418,1.0,2,True,0.004,1.248507603849298,-0.19153140017678172,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-11-01,-0.009624178025519292,-0.009624178025519292,0.0,0,False,0.0,1.2808290666289546,-0.1706017016494018,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-12-01,0.05029238763777144,0.04629238763777144,1.0,2,True,0.004,1.2634281311127713,-0.181869642612684,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-01-01,0.028608728466959832,0.028608728466959832,0.0,0,False,0.0,1.3128340297762962,-0.1498769518254126,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-02-01,0.0014972434855033967,0.0014972434855033967,0.0,0,False,0.0,1.3503925420563507,-0.12555601237668168,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-03-01,0.021236992960605106,0.021236992960605106,0.0,0,False,0.0,1.3524144084928171,-0.12424675681277497,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011-04-01,0.015475871295147048,0.011475871295147048,1.0,2,True,0.004,1.375611081270737,-0.10922579778657271,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2011-05-01,-0.04981873003338244,-0.053818730033382445,1.0,2,True,0.004,1.3990975599890214,-0.09401717550377142,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011-06-01,-0.03779114607434819,-0.041791146074348196,1.0,2,True,0.004,1.3187823963274452,-0.14602509897164073,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011-07-01,-0.04502179547378815,-0.049021795473788154,1.0,2,True,0.004,1.2638683217549656,-0.18158459804342963,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011-08-01,0.10870320711565995,0.10470320711565995,1.0,2,True,0.004,1.2021388338644452,-0.2215574043673847,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011-09-01,0.13876014618722365,0.13876014618722365,0.0,0,False,0.0,1.33281518050379,-0.13693819766668058,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011-10-01,-0.03207307222601519,-0.03207307222601519,0.0,0,False,0.0,1.4779002412918387,-0.04298865695988752,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011-11-01,-0.018634951897583574,-0.018634951897583574,0.0,0,False,0.0,1.4304994401100395,-0.07368295088632937,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011-12-01,0.02448576725234264,0.02448576725234264,0.0,0,False,0.0,1.4038421518540694,-0.09094482453847375,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2012-01-01,0.00041007651879620965,0.00041007651879620965,0.0,0,False,0.0,1.4536099087542969,-0.05871781317433156,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2012-02-01,0.041091812337777034,0.03709181233777703,1.0,2,True,0.004,1.448389176045185,-0.06209848819014541,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2012-03-01,0.03422182897380588,0.03022182897380588,1.0,2,True,0.004,1.5018744878102637,-0.027464181614435645,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2012-04-01,-0.00777107413711664,-0.00777107413711664,0.0,0,False,0.0,1.541851386193608,-0.005908182207625234,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2012-05-01,0.12188131360664589,0.11788131360664589,1.0,2,True,0.004,1.5237500665840291,-0.01757881004909967,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2012-06-01,-0.030015122771852032,-0.030015122771852032,0.0,0,False,0.0,1.709466726307504,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2012-07-01,0.007672257375222369,0.0036722573752223688,1.0,2,True,0.004,1.6417948536444327,-0.03958653983821292,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2012-08-01,-0.008630347007638761,-0.012630347007638761,1.0,2,True,0.004,1.641182467566378,-0.039944772068551515,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2012-09-01,0.028942863257008344,0.024942863257008344,1.0,2,True,0.004,1.6285959712791012,-0.047307592352549666,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2012-10-01,-0.0014850285836539578,-0.005485028583653958,1.0,2,True,0.004,1.662353155877761,-0.027560390444983818,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2012-11-01,0.016365588984884605,0.012365588984884605,1.0,2,True,0.004,1.6532449758694545,-0.03288847309680609,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2012-12-01,0.047975018925056734,0.047975018925056734,0.0,0,False,0.0,1.6785655646851256,-0.018076492011708134,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2013-01-01,-0.013407743000755645,-0.017407743000755645,1.0,2,True,0.004,1.6780071225773934,-0.03300654018552718,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2013-02-01,-0.021394458268930716,-0.025394458268930716,1.0,2,True,0.004,1.6422912517911912,-0.05358870160614615,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2013-03-01,0.030150425648266754,0.026150425648266754,1.0,2,True,0.004,1.6007266988587576,-0.07754131200033831,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2013-04-01,0.014340836522386713,0.014340836522386713,0.0,0,False,0.0,1.6489892901758947,-0.049728789914206484,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2013-05-01,-0.01577115778562077,-0.01977115778562077,1.0,2,True,0.004,1.6659466273094192,-0.03995670141508201,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2013-06-01,-0.012828808764220656,-0.016828808764220656,1.0,2,True,0.004,1.6285240781762924,-0.061522378803707256,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2013-07-01,0.057561414340048245,0.057561414340048245,0.0,0,False,0.0,1.601201525992602,-0.07726768102059323,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2013-08-01,-0.03662676305035639,-0.03662676305035639,0.0,0,False,0.0,1.69336895047218,-0.02415390368286585,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2013-09-01,0.06470542706566951,0.060705427065669504,1.0,2,True,0.004,1.6238650465512072,-0.06420726199038063,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2013-10-01,0.02118070011961648,0.02118070011961648,0.0,0,False,0.0,1.7220221761737753,-0.013321596244131428,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2013-11-01,0.024391090862369458,0.020391090862369458,1.0,2,True,0.004,1.7514618282406944,-0.023876601857695023,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2013-12-01,0.018881483942263966,0.018881483942263966,0.0,0,False,0.0,1.7990839959194593,-0.0005743747761627338,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-01-01,-0.04801575683372805,-0.04801575683372805,0.0,0,False,0.0,1.8179894272841037,-0.013136378573802343,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-02-01,0.0,-0.004,1.0,2,True,0.004,1.7705086009679953,-0.038910510977104074,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-01,0.02216753630435786,0.01816753630435786,1.0,2,True,0.004,1.7634265665641233,-0.04275486893319569,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2014-04-01,0.0,-0.004,1.0,2,True,0.004,1.7881260901647387,-0.029347166477841413,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2014-05-01,0.015987539938068895,0.011987539938068895,1.0,2,True,0.004,1.78097358580408,-0.03322977781192993,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2014-06-01,0.035837687765963855,0.03183768776596385,1.0,2,True,0.004,1.8064044751365225,-0.01942506631798291,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2014-07-01,0.01057186998911508,0.01057186998911508,0.0,0,False,0.0,1.863657267356723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2014-08-01,0.034348768997796375,0.034348768997796375,0.0,0,False,0.0,1.8833596096914889,-0.02574366352134705,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2014-09-01,-0.09125442289604524,-0.09125442289604524,0.0,0,False,0.0,1.944266186369313,-0.009820203624810842,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2014-10-01,0.008874337307852365,0.0048743373078523645,1.0,2,True,0.004,1.7597759243855833,-0.11438264561278588,0.0,0.0,0.0,0.0,1.0,0.0,0.0
