date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_gld.us,w_hyg.us,w_ief.us,w_lqd.us,w_qqq.us,w_spy.us,w_tlt.us,w_vnq.us,w_vwo.us,w_xle.us
2007-05-01,-0.02219893012959417,-0.02619893012959417,0.9999999999999999,2,True,0.003999999999999999,0.996,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-01,-0.0027969529277176437,-0.0027969529277176437,0.0,0,False,0.0,0.9738898655909245,-0.023239921986127454,1.1102230246251565e-16,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-01,0.01432208352967934,0.01432208352967934,0.0,0,False,0.0,0.9735389574929096,-0.02359186426759352,1.1102230246251565e-16,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-01,0.01951814668146978,0.01951814668146978,0.0,0,False,0.0,0.9874820637615198,-0.009607665388575715,1.1102230246251565e-16,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-01,0.0002460393488257217,0.0002460393488257217,0.0,0,False,0.0,1.0125512206645277,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-01,0.030498543103494296,0.026498543103494296,1.0,7,True,0.004,1.0087491467150826,-0.020503364456283535,1.1102230246251565e-16,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
2007-11-01,-0.020202038396293864,-0.020202038396293864,0.0,0,False,0.0,1.039514526046786,-0.021181536183432215,1.1102230246251565e-16,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
2007-12-01,0.034299153653629046,0.033632486986962376,0.16666666666666666,2,True,0.0006666666666666666,1.0166270216510707,-0.047534533635140486,1.1102230246251565e-16,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
2008-01-01,-0.036351568693531566,-0.036351568693531566,0.0,0,False,0.0,1.033272943279521,-0.031939172534895754,1.1102230246251565e-16,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
2008-02-01,0.03520016491918937,0.03320016491918937,0.49999999999999994,5,True,0.0019999999999999996,0.9937204272009227,-0.06899544279960224,1.1102230246251565e-16,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
2008-03-01,-0.026900590592344228,-0.027567257259010894,0.16666666666666666,2,True,0.0006666666666666666,1.0275895072195538,-0.03726391451216482,1.1102230246251565e-16,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666
2008-04-01,-0.01003104829883929,-0.011364381632172625,0.3333333333333333,3,True,0.0013333333333333333,0.997947737945223,-0.06503492688394219,1.1102230246251565e-16,0.16666666666666666,0.16666666666666666,0.0,0.5,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
2008-05-01,0.028784354947104497,0.0267843549471045,0.49999999999999994,6,True,0.0019999999999999996,0.9859614014342047,-0.07626477947671684,1.1102230246251565e-16,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666
2008-06-01,-0.02640831673315804,-0.027074983399824705,0.16666666666666666,2,True,0.0006666666666666666,1.0130894799495223,-0.05084881334125957,1.1102230246251565e-16,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
2008-07-01,-0.04973234087985591,-0.05173234087985591,0.49999999999999994,5,True,0.0019999999999999996,0.9837065792190839,-0.07837729492924439,1.1102230246251565e-16,0.16666666666666666,0.16666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
2008-08-01,0.0008807112569579143,-0.00045262207637541876,0.33333333333333326,3,True,0.001333333333333333,0.9335381688978761,-0.1253794671278241,1.1102230246251565e-16,0.16666666666666666,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,-0.00021591826073262066,-0.0008825849273992873,0.16666666666666666,2,True,0.0006666666666666666,0.9365232114294666,-0.12258281716041242,1.1102230246251565e-16,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
2008-10-01,-0.0201022248923934,-0.0201022248923934,0.0,0,False,0.0,0.9356967849672082,-0.12335708604076623,1.1102230246251565e-16,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
2008-11-01,0.10237336983044223,0.10237336983044223,0.0,0,False,0.0,0.9187320026949927,-0.13925118379201606,1.1102230246251565e-16,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
2008-12-01,0.026314632943273256,0.026314632943273256,0.0,0,False,0.0,1.0127856937819493,-0.051133426899241385,1.1102230246251565e-16,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
2009-01-01,-0.023454980717242224,-0.024788314050575556,0.33333333333333326,3,True,0.001333333333333333,1.0520478636555597,-0.01920762483780225,1.1102230246251565e-16,0.0,0.16666666666666666,0.0,0.5,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
2009-02-01,-0.012135109134634815,-0.012135109134634815,0.0,0,False,0.0,1.0275753817825528,-0.04202257884468441,1.1102230246251565e-16,0.0,0.16666666666666666,0.0,0.5,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
2009-03-01,0.014775536811133045,0.014108870144466379,0.16666666666666663,2,True,0.0006666666666666665,1.0131966634386707,-0.05542742267686729,1.1102230246251565e-16,0.0,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
