date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_cbu0.uk,w_cmod.uk,w_cndx.uk,w_cspx.uk,w_dtla.uk,w_eimi.uk,w_ibta.uk,w_igln.uk,w_ihya.uk,w_iues.uk,w_iuit.uk,w_lqda.uk,w_vwra.uk,w_xres.uk
2018-06-01,0.0013692702984805737,-0.0006307297015194263,0.5,5,True,0.002,0.998,0.0,0.5,0.0,0.0,0.09999999999999999,0.0,0.0,0.0,0.2,0.0,0.0,0.09999999999999999,0.0,0.0,0.0,0.09999999999999999
2018-07-01,0.0018242378878273804,0.0010242378878273805,0.19999999999999998,4,True,0.0007999999999999999,1.003180749508831,0.0,0.5,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.4,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.033333333333333326
2018-08-01,0.0017505251575472558,0.0013505251575472558,0.09999999999999998,4,True,0.0003999999999999999,1.0038050984960685,-0.0018026596366556014,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,-0.00020891777782681877,-0.0006089177778268186,0.09999999999999998,4,True,0.0003999999999999999,1.0055622845742596,-5.5290080153258536e-05,0.5,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.4,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.033333333333333326
2018-10-01,-0.00849733817080281,-0.008630671504136142,0.033333333333333326,2,True,0.0001333333333333333,1.0048160705125582,-0.0007973354162927881,0.5,0.0,0.0,0.033333333333333326,0.033333333333333326,0.0,0.0,0.4,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.0
2018-11-01,0.001593943016537147,0.0011939430165371471,0.09999999999999998,4,True,0.0003999999999999999,0.9958792974385312,-0.009684183199084151,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-01,0.003972194637537285,0.003972194637537285,0.0,0,False,0.0,0.9973674613617807,-0.008204332905000222,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.0007074136955290689,-0.0012925863044709312,0.5,2,True,0.002,1.0008359756610377,-0.00475519546415859,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,-0.00016174203624068633,-0.0009617420362406863,0.19999999999999998,4,True,0.0007999999999999999,0.9987412600615037,-0.0068382089330133455,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667
2019-03-01,0.010813634649960284,0.010413634649960285,0.1,4,True,0.0004,0.9981802897277771,-0.0073960454054397,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.033333333333333326,0.0,0.033333333333333326
2019-04-01,0.002376863580707755,0.0015768635807077553,0.19999999999999998,4,True,0.0007999999999999999,1.008167067298328,-0.004477961374717787,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999999,0.0,0.0,0.0,0.09999999999999999,0.0,0.09999999999999999
2019-05-01,0.008815971181980459,0.007882637848647126,0.2333333333333333,5,True,0.0009333333333333332,1.0096201504305,-0.003043103672106695,0.5,0.4,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.033333333333333326
2019-06-01,0.006042822468983303,0.00590948913564997,0.033333333333333326,2,True,0.0001333333333333333,1.0173239125548614,0.0,0.5,0.4,0.0,0.0,0.0,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333333333326,0.0,0.033333333333333326
2019-07-01,0.008811488786455168,0.0074781554531218345,0.3333333333333333,5,True,0.0013333333333333333,1.0219705108858408,-0.004218772865072329,0.5,0.1,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.13333333333333333
2019-08-01,0.006596350496440882,0.0037963504964408823,0.7,7,True,0.0028,1.028088860923368,-0.0050971648329734,0.0,0.3,0.0,0.0,0.1,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.4,0.0,0.0,0.06666666666666667
2019-09-01,0.0009617667173795127,0.0005617667173795128,0.1,2,True,0.0004,1.0361554430266442,-0.0011744766540402463,0.0,0.3,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.16666666666666669,0.0,0.0,0.4,0.0,0.0,0.06666666666666667
2019-10-01,0.017070082885078403,0.017070082885078403,0.0,0,False,0.0,1.036737122052641,-0.01037564540856084,0.0,0.3,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.16666666666666669,0.0,0.0,0.4,0.0,0.0,0.06666666666666667
2019-11-01,0.003935015400609699,0.0032683487339430326,0.16666666666666663,5,True,0.0006666666666666665,1.053731354449013,0.0,0.0,0.2,0.0,0.0,0.0,0.09999999999999999,0.0,0.0,0.2,0.0,0.0,0.4,0.09999999999999999,0.0,0.0
2019-12-01,0.03710891125597409,0.03670891125597409,0.1,2,True,0.0004,1.067391679331735,-0.0005304075980681056,0.0,0.2,0.0,0.0,0.1,0.09999999999999999,0.0,0.0,0.09999999999999999,0.0,0.0,0.4,0.09999999999999999,0.0,0.0
2020-01-01,0.036403929848459735,0.035203929848459735,0.3,5,True,0.0012,1.0800035937340609,-0.022141765486798692,0.0,0.0,0.0,0.0,0.1,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.4,0.0,0.0,0.16666666666666666
