date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_gld.us,w_hyg.us,w_ief.us,w_ivv.us,w_lqd.us,w_shy.us,w_tlt.us,w_xlk.us
2005-08-01,-0.005893026113600541,-0.007893026113600541,0.5,3,True,0.002,0.998,0.0,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4
2005-09-01,0.0014071472129330465,0.0014071472129330465,0.0,0,False,0.0,0.9921187599386266,-0.013310461392909034,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4
2005-10-01,-0.011067830322699857,-0.011067830322699857,0.0,0,False,0.0,0.9945027060016076,-0.010939561117731866,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4
2005-11-01,0.0378329563068762,0.0378329563068762,0.0,0,False,0.0,0.983495718796116,-0.021886314234175863,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4
2005-12-01,-0.013235055255651208,-0.013235055255651208,0.0,0,False,0.0,1.0207042693533293,0.0,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4
2006-01-01,0.009417344849075882,0.009417344849075882,0.0,0,False,0.0,0.9979053624960703,-0.022336447041319096,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4
2006-02-01,0.007083611389598188,0.007083611389598188,0.0,0,False,0.0,1.007302981421438,-0.013129452216734228,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4
2006-03-01,0.003720963381224074,0.003720963381224074,0.0,0,False,0.0,1.014438324293411,-0.006138844764397966,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4
2006-04-01,-0.010219678272954225,-0.010219678272954225,0.0,0,False,0.0,1.015835432600125,-0.004770075818619657,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4
2006-05-01,-0.017611775369164275,-0.017611775369164275,0.0,0,False,0.0,1.0054539213006848,-0.015998593083010437,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4
2006-06-01,-0.00651567792968183,-0.00651567792968183,0.0,0,False,0.0,0.9877460926946916,-0.033328604824574226,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4
