date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_gld.us,w_hyg.us,w_ief.us,w_lqd.us,w_qqq.us,w_shy.us,w_spy.us,w_tlt.us,w_vnq.us,w_vwo.us,w_xle.us
2007-05-01,0.027518562187546745,0.023518562187546745,0.9999999999999999,5,True,0.003999999999999999,0.996,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.26666666666666666,0.0,0.0,0.0,0.26666666666666666,0.0,0.26666666666666666
2007-06-01,0.007620511310958674,0.004153844644292007,0.8666666666666666,7,True,0.0034666666666666665,1.0198606718472751,-0.0033433021760882475,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.6,0.13333333333333333,0.0,0.0,0.13333333333333333,0.0
2007-07-01,0.0021419549720394174,0.001075288305372751,0.26666666666666666,5,True,0.0010666666666666665,1.0240633566793418,-0.0023945251849812887,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666665,0.8,0.0,0.0,0.0,0.06666666666666665,0.06666666666666665
2007-08-01,0.018799792338786946,0.017999792338786947,0.2,4,True,0.0008,1.0243420505557281,-0.013240571604125173,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.6,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333
2007-09-01,0.04885904467451389,0.046459044674513894,0.6,5,True,0.0024,1.0401627451922477,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.19999999999999998,0.19999999999999998
2007-10-01,0.023937444211192992,0.021537444211192993,0.6,4,True,0.0024,1.085753663601299,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.19999999999999998,0.19999999999999998
2007-11-01,-0.005440527929457995,-0.0070405279294579945,0.4,5,True,0.0016,1.109965041220692,-0.018186807588470022,0.0,0.26666666666666666,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.26666666666666666
2007-12-01,0.007523360707196178,0.0053900273738628456,0.5333333333333333,5,True,0.002133333333333333,1.0999027634302054,-0.03396354938180035,0.0,0.13333333333333333,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.13333333333333333,0.0
2008-01-01,0.0015946594655962092,0.001061326132262876,0.13333333333333333,2,True,0.0005333333333333333,1.0770607681305575,-0.05402550467273248,0.0,0.13333333333333333,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.13333333333333333
2008-02-01,0.0044530735790713205,0.0028530735790713206,0.39999999999999997,4,True,0.0015999999999999999,1.0764778401019772,-0.05453748604273956,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,-0.006792700994219387,-0.0075927009942193865,0.19999999999999996,4,True,0.0007999999999999998,1.0872772755509605,-0.04505242187463032,0.0,0.06666666666666665,0.06666666666666665,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666665
2008-04-01,-0.017870074133313207,-0.018670074133313206,0.19999999999999996,4,True,0.0007999999999999998,1.0781645904892458,-0.053056025670629836,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,0.023094935311888547,0.021494935311888546,0.4,4,True,0.0016,1.0572034729943622,-0.07146601991648327,0.0,0.13333333333333333,0.13333333333333333,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333
