date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_gld.us,w_ief.us,w_qqq.us,w_shy.us,w_vnq.us,w_vt.us,w_vwo.us,w_xle.us
2008-07-01,0.006976766851237937,0.0029767668512379365,1.0,2,True,0.004,0.996,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-01,0.01692770984387182,0.01692770984387182,0.0,0,False,0.0,1.002948859783833,-0.008033092445710821,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,-0.0032508718618072807,-0.0032508718618072807,0.0,0,False,0.0,1.017813124007123,-0.002599594501307312,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,-0.017705537004299554,-0.017705537004299554,0.0,0,False,0.0,1.0145043439617107,-0.028476315677875785,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,0.007547652719179121,0.003547652719179121,1.0,2,True,0.004,0.9986924992110252,-0.04361827318603928,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2008-12-01,0.018863802172838007,0.014863802172838007,1.0,2,True,0.004,0.9981965407859063,-0.04409321975409497,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,-0.01976231053124622,-0.01976231053124622,0.0,0,False,0.0,1.025729382946721,-0.019110559949008454,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,-0.008041777327458588,-0.008041777327458588,0.0,0,False,0.0,1.0002426587779802,-0.04348312742561811,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,0.022508905287974112,0.022508905287974112,0.0,0,False,0.0,0.9849588064053054,-0.05809884346622385,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,-0.0359734370959911,-0.0359734370959911,0.0,0,False,0.0,1.0071291508912392,-0.036897679543171025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-05-01,-0.03646668777491968,-0.03646668777491968,0.0,0,False,0.0,0.9708992537341139,-0.0715437802851282,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-06-01,-0.012653278980504223,-0.016653278980504223,1.0,5,True,0.004,0.9317517986921404,-0.10897989734870395,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.5,0.0,0.0,0.16666666666666666,0.0
2009-07-01,-0.002588404368030761,-0.004588404368030761,0.49999999999999994,4,True,0.0019999999999999996,0.9181221590762167,-0.12201371483821877,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2009-08-01,-0.00261744810127563,-0.00361744810127563,0.24999999999999997,4,True,0.0009999999999999998,0.9182172660879433,-0.1219227654464704,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.75,0.0,0.0,0.08333333333333333,0.0
2009-09-01,0.026024501784586408,0.024691168451253076,0.3333333333333333,5,True,0.0013333333333333333,0.91367820207999,-0.12626340346185638,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.5,0.16666666666666666,0.0,0.0,0.0
2009-10-01,0.012626151139030789,0.010626151139030789,0.5,5,True,0.002,0.9355813096363971,-0.10531779415829923,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0
2009-11-01,0.07812537895259722,0.07612537895259722,0.5,5,True,0.002,0.9444415724216094,-0.09684485934080944,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
2009-12-01,0.01077595386439597,0.009442620531062635,0.3333333333333333,2,True,0.0013333333333333333,1.0148350553422238,-0.029528640079469426,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0
2010-01-01,-0.038397402763141145,-0.038397402763141145,0.0,0,False,0.0,1.0150102947052535,-0.029361061336445338,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0
2010-02-01,0.026591772397614843,0.025591772397614843,0.24999999999999997,4,True,0.0009999999999999998,0.9750604990751105,-0.06756444452629584,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0
2010-03-01,0.053125855429899366,0.052125855429899365,0.24999999999999997,4,True,0.0009999999999999998,0.9999880968544802,-0.043726561129235786,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0
2010-04-01,0.06261661676622188,0.06261661676622188,0.0,0,False,0.0,1.0531133199195915,-0.0013262821666255586,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0
2010-05-01,-0.05392061386125528,-0.05392061386125528,0.0,0,False,0.0,1.1004483824256666,-0.01413424829519394,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0
2010-06-01,0.009257560910433496,0.006257560910433496,0.75,4,True,0.003,1.037988195532281,-0.0700908566074695,0.0,0.0,0.08333333333333333,0.75,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0
2010-07-01,0.0037699433048270503,0.0027699433048270503,0.24999999999999997,4,True,0.0009999999999999998,1.0465498370422552,-0.06242068390527278,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-01,0.011935623947468305,0.008935623947468305,0.75,4,True,0.003,1.056464582655741,-0.053538297149743785,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0
2010-09-01,0.005327340691075877,0.002327340691075877,0.75,4,True,0.003,1.0626693234156899,-0.04797961624191516,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-01,0.04114824233492172,0.03714824233492172,0.9999999999999999,4,True,0.003999999999999999,1.064057202843707,-0.046736247795535424,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
2010-11-01,-0.0015577482497180686,-0.0028910815830514016,0.3333333333333333,2,True,0.0013333333333333333,1.106364164769226,-0.008834438417515189,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
2010-12-01,0.04388335956024976,0.04255002622691643,0.3333333333333333,2,True,0.0013333333333333333,1.103167873624102,-0.03959975012212602,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
2011-01-01,0.015002054060780997,0.015002054060780997,0.0,0,False,0.0,1.1211873160542176,-0.02391231267374372,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
2011-02-01,0.040247142242985756,0.040247142242985756,0.0,0,False,0.0,1.1380074287819248,-0.00926899242041257,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
2011-03-01,0.016998085274306497,0.016998085274306497,0.0,0,False,0.0,1.1838089756416854,-0.010383081968717067,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
2011-04-01,0.043540760749668506,0.043540760749668506,0.0,0,False,0.0,1.203931461558132,-4.923950926993825e-06,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
