date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_iau.us,w_ivv.us,w_vt.us,w_xlk.us
2008-07-01,-0.10467086790885395,-0.10867086790885395,1.0,3,True,0.004,0.996,0.0,0.0,0.8,0.2,0.0,0.0,0.0
2008-08-01,0.0,-0.004,1.0,3,True,0.004,0.8881808243005309,-0.12340600060171825,1.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,0,False,0.0,0.8881808243005309,-0.12340600060171825,1.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,0,False,0.0,0.8881808243005309,-0.12340600060171825,1.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,0,False,0.0,0.8881808243005309,-0.12340600060171825,1.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,0,False,0.0,0.8881808243005309,-0.12340600060171825,1.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,0,False,0.0,0.8881808243005309,-0.12340600060171825,1.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,0,False,0.0,0.8881808243005309,-0.12340600060171825,1.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,0,False,0.0,0.8881808243005309,-0.12340600060171825,1.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,0,False,0.0,0.8881808243005309,-0.12340600060171825,1.0,0.0,0.0,0.0,0.0,0.0
2009-05-01,0.12546036417723871,0.12146036417723871,1.0,2,True,0.004,0.8846281010033288,-0.12691237659931143,0.0,0.0,0.0,0.0,1.0,0.0
2009-06-01,-0.028445997244326837,-0.028445997244326837,0.0,0,False,0.0,0.9956138647166252,-0.017374485408821472,0.0,0.0,0.0,0.0,1.0,0.0
2009-07-01,0.10529609892515124,0.10529609892515124,0.0,0,False,0.0,0.9672926354644827,-0.04532624808908714,0.0,0.0,0.0,0.0,1.0,0.0
2009-08-01,-0.01682399612458918,-0.01682399612458918,0.0,0,False,0.0,1.0466291717767682,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2009-09-01,0.04800982768263773,0.04800982768263773,0.0,0,False,0.0,1.029020686646914,-0.031688619820377406,0.0,0.0,0.0,0.0,1.0,0.0
2009-10-01,0.060204081632653006,0.056204081632653,1.0,2,True,0.004,1.074110097324723,-0.04674545548518905,0.0,0.0,1.0,0.0,0.0,0.0
2009-11-01,0.11793535500022015,0.11713535500022015,0.19999999999999998,2,True,0.0007999999999999999,1.1256235407678479,-0.015340364333652934,0.0,0.0,0.8,0.0,0.0,0.2
2009-12-01,-0.04114609533766274,-0.04114609533766274,0.0,0,False,0.0,1.257367653162793,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2010-01-01,-0.02869323346855355,-0.02869323346855355,0.0,0,False,0.0,1.1460996653946407,-0.09929928233474938,0.0,0.0,0.8,0.0,0.0,0.2
2010-02-01,0.015393344432743962,0.015393344432743962,0.0,0,False,0.0,1.113214360117241,-0.1251432983120122,0.0,0.0,0.8,0.0,0.0,0.2
2010-03-01,0.05036383715730098,0.04716383715730098,0.8,3,True,0.0032,1.126733330742994,-0.11451896352475932,0.0,0.0,0.0,0.2,0.0,0.8
2010-04-01,0.0268366788143843,0.0268366788143843,0.0,0,False,0.0,1.1834799447322377,-0.06992274079784211,0.0,0.0,0.0,0.2,0.0,0.8
2010-05-01,0.00909332197202992,0.00589332197202992,0.8,3,True,0.0032,1.1990461025917392,-0.0576895555185184,0.0,0.0,0.8,0.0,0.0,0.2
2010-06-01,-0.02905781423363665,-0.02905781423363665,0.0,0,False,0.0,1.2060775767343552,-0.05216363661484413,0.0,0.0,0.8,0.0,0.0,0.2
2010-07-01,0.010730812029326752,0.010730812029326752,0.0,0,False,0.0,1.1710315985582538,-0.07970568958597568,0.0,0.0,0.8,0.0,0.0,0.2
2010-08-01,-0.04913982696418916,-0.05233982696418916,0.8,3,True,0.0032,1.177450695624999,-0.07466102766925697,0.0,0.0,0.0,0.2,0.0,0.8
2010-09-01,0.06430321316921894,0.06110321316921894,0.8,3,True,0.0032,1.1124370545727058,-0.12575416984696464,0.0,0.0,0.8,0.0,0.0,0.2
2010-10-01,0.030240610167295935,0.030240610167295935,0.0,0,False,0.0,1.1839703316302326,-0.06953735386833326,0.0,0.0,0.8,0.0,0.0,0.2
2010-11-01,0.022532902631910327,0.022532902631910327,0.0,0,False,0.0,1.2197743168787072,-0.04139959571143437,0.0,0.0,0.8,0.0,0.0,0.2
2010-12-01,0.022983302893041915,0.022983302893041915,0.0,0,False,0.0,1.2472593727938404,-0.01979954613868995,0.0,0.0,0.8,0.0,0.0,0.2
2011-01-01,-0.03472871425458397,-0.03472871425458397,0.0,0,False,0.0,1.2537400815875808,-0.018978748097549958,0.0,0.0,0.8,0.0,0.0,0.2
