date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_gld.us,w_hyg.us,w_ief.us,w_lqd.us,w_qqq.us,w_shy.us,w_spy.us,w_tlt.us,w_vnq.us,w_vwo.us,w_xle.us
2007-05-01,-0.010010470808207902,-0.0140104708082079,0.9999999999999999,5,True,0.003999999999999999,,,0.0,0.0,0.0,0.0,0.2,0.0,0.26666666666666666,0.0,0.0,0.0,0.26666666666666666,0.0,0.26666666666666666
2007-06-01,0.022780669225373924,0.019314002558707258,0.8666666666666666,7,True,0.0034666666666666665,1.0127270265488566,-2.0699664280088292e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.6,0.13333333333333333,0.0,0.0,0.13333333333333333,0.0
2007-07-01,-0.009447419477946225,-0.010514086144612892,0.26666666666666666,5,True,0.0010666666666666665,0.9847989406682129,-0.033775868677524135,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666665,0.8,0.0,0.0,0.0,0.06666666666666665,0.06666666666666665
2007-08-01,0.04657354141123113,0.045773541411231126,0.2,4,True,0.0008,0.9932731537786003,-0.025461492145325892,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.6,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333
2007-09-01,0.034066003297423264,0.031666003297423265,0.6,5,True,0.0024,1.020049475182745,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.19999999999999998,0.19999999999999998
2007-10-01,0.01946004237584511,0.01706004237584511,0.6,4,True,0.0024,1.0691452869112723,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.19999999999999998,0.19999999999999998
2007-11-01,0.007953689089312968,0.0063536890893129685,0.4,5,True,0.0016,1.0924591098482956,-0.016838201624169602,0.0,0.26666666666666666,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.26666666666666666
2007-12-01,0.01974657834397388,0.017613245010640547,0.5333333333333333,5,True,0.002133333333333333,1.0841199293082184,-0.02687026870254927,0.0,0.13333333333333333,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.13333333333333333,0.0
2008-01-01,0.01211554524197062,0.011582211908637287,0.13333333333333333,2,True,0.0005333333333333333,1.0826139143241502,-0.03393876319757938,0.0,0.13333333333333333,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.13333333333333333
2008-02-01,0.04939364586846229,0.04779364586846229,0.39999999999999997,4,True,0.0015999999999999999,1.1027420016184737,-0.015977637214675044,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,-0.005707684651147363,-0.006507684651147362,0.19999999999999996,4,True,0.0007999999999999998,1.1403040582643527,0.0,0.0,0.06666666666666665,0.06666666666666665,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666665
2008-04-01,-0.004659793410951241,-0.00545979341095124,0.19999999999999996,4,True,0.0007999999999999998,1.1466339588383165,-0.013506513771665785,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,-0.016037596184761044,-0.017637596184761045,0.4,4,True,0.0016,1.1482445402129926,-0.014015709020030909,0.0,0.13333333333333333,0.13333333333333333,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333
2008-06-01,0.0013714375795066038,-0.0018285624204933963,0.8,5,True,0.0032,1.1198384951344655,-0.03840765101097754,0.0,0.06666666666666665,0.06666666666666665,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.06666666666666665
2008-07-01,0.02263387851505927,0.01863387851505927,1.0,5,True,0.004,1.1369918259515293,-0.02367828445943254,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-01,-0.002506965347827128,-0.002506965347827128,0.0,0,False,0.0,1.131376943259549,-0.028499719211441787,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,-0.010007847533730296,-0.010007847533730296,0.0,0,False,0.0,1.149120574699391,-0.013263468350299124,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,0.012326285623889266,0.008326285623889266,1.0,2,True,0.004,1.1489131613968961,-0.028063476997338688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,-0.0003844331568928494,-0.0003844331568928494,0.0,0,False,0.0,1.1345093349160376,-0.04024856243122654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,-0.014645071922776753,-0.018645071922776753,1.0,2,True,0.004,1.142052411258852,-0.033867408798636145,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,-0.024957231796039925,-0.024957231796039925,0.0,0,False,0.0,1.120945146773515,-0.051723345994997505,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,0.018467647026964906,0.018467647026964906,0.0,0,False,0.0,1.078459538136014,-0.08766454340157814,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,-0.014230010822425365,-0.014230010822425365,0.0,0,False,0.0,1.0684258590860258,-0.09615265151665386,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,-0.02257438669493017,-0.02257438669493017,0.0,0,False,0.0,1.101608027950993,-0.06808180776977624,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-05-01,-0.03795133810109552,-0.03795133810109552,0.0,0,False,0.0,1.0629466575526871,-0.10078784612150038,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-06-01,0.02705783202024238,0.02305783202024238,1.0,5,True,0.004,1.025148455636573,-0.13276367700277736,0.0,0.0,0.13333333333333333,0.0,0.0,0.13333333333333333,0.0,0.6,0.0,0.0,0.0,0.13333333333333333,0.0
2009-07-01,0.0014981010003329853,-0.00010189899966701475,0.4,4,True,0.0016,1.0364074791163218,-0.12323897443952414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2009-08-01,0.012525596634420016,0.011725596634420016,0.19999999999999996,4,True,0.0007999999999999998,1.0456502683579796,-0.11541992880559582,0.0,0.0,0.06666666666666665,0.0,0.0,0.06666666666666665,0.06666666666666665,0.8,0.0,0.0,0.0,0.0,0.0
