date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_tbf.us,w_vt.us,w_xlk.us
2022-07-01,-0.03784056508577194,-0.04184056508577194,1.0,2,True,0.004,0.996,0.0,0.0,1.0,0.0,0.0
2022-08-01,0.0,-0.004,1.0,2,True,0.004,0.9544775539858726,-0.07030249632892815,1.0,0.0,0.0,0.0
2022-09-01,0.05081495685522541,0.04681495685522541,1.0,2,True,0.004,0.9506596437699292,-0.07402128634361238,0.0,1.0,0.0,0.0
2022-10-01,0.07208029197080279,0.07208029197080279,0.0,0,False,0.0,1.0162852375872204,-0.015452538631346324,0.0,1.0,0.0,0.0
2022-11-01,-0.08723404255319156,-0.08723404255319156,0.0,0,False,0.0,1.0895393742381234,-0.04742602351033676,0.0,1.0,0.0,0.0
2022-12-01,0.03822843822843813,0.03822843822843813,0.0,0,False,0.0,0.9944944501024576,-0.13052290231049857,0.0,1.0,0.0,0.0
2023-01-01,-0.06241580601706331,-0.06241580601706331,0.0,0,False,0.0,1.0417323377129246,-0.08922326366867384,0.0,1.0,0.0,0.0
2023-02-01,0.0,-0.004,1.0,2,True,0.004,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2023-06-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2023-07-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2023-08-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2023-09-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2023-10-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2023-11-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2023-12-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2024-01-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2024-02-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2024-03-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2024-05-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2024-06-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2024-07-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2024-08-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2024-09-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2024-10-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2024-11-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2024-12-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2025-01-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2025-02-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2025-03-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2025-04-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2025-05-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2025-06-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2025-07-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2025-08-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2025-09-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2025-10-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
2025-11-01,0.0,0.0,0.0,0,False,0.0,0.9728049271037309,-0.14948584725731018,1.0,0.0,0.0,0.0
