date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_iau.us,w_ivv.us,w_vt.us,w_xlk.us
2008-07-01,-0.17155892096376657,-0.17555892096376657,1.0,3,True,0.004,,,0.0,0.8,0.2,0.0,0.0,0.0
2008-08-01,0.0,-0.004,1.0,3,True,0.004,0.8941692829675473,-0.11766546371955866,1.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,0,False,0.0,0.8905926058356771,-0.12119480186468035,1.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,0,False,0.0,0.8905926058356771,-0.12119480186468035,1.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,0,False,0.0,0.8905926058356771,-0.12119480186468035,1.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,0,False,0.0,0.8905926058356771,-0.12119480186468035,1.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,0,False,0.0,0.8905926058356771,-0.12119480186468035,1.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,0,False,0.0,0.8905926058356771,-0.12119480186468035,1.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,0,False,0.0,0.8905926058356771,-0.12119480186468035,1.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,0,False,0.0,0.8905926058356771,-0.12119480186468035,1.0,0.0,0.0,0.0,0.0,0.0
2009-05-01,0.06118678150017076,0.05718678150017076,1.0,2,True,0.004,0.8905926058356771,-0.12119480186468035,0.0,0.0,0.0,0.0,1.0,0.0
2009-06-01,-0.06021516140680805,-0.06021516140680805,0.0,0,False,0.0,0.9574824528427014,-0.055190273119361755,0.0,0.0,0.0,0.0,1.0,0.0
2009-07-01,0.15061916265621722,0.15061916265621722,0.0,0,False,0.0,0.9462335394112343,-0.06629030194530439,0.0,0.0,0.0,0.0,1.0,0.0
2009-08-01,0.05750778651395616,0.05750778651395616,0.0,0,False,0.0,1.0766446117981043,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2009-09-01,0.059304703476482645,0.05530470347648264,1.0,2,True,0.004,1.069275843996837,-0.03168861982037752,0.0,0.0,1.0,0.0,0.0,0.0
2009-10-01,0.04729729729729737,0.04729729729729737,0.0,0,False,0.0,1.0671766521558619,-0.03358959921704907,0.0,0.0,1.0,0.0,0.0,0.0
2009-11-01,0.022803999456482506,0.022003999456482508,0.19999999999999998,2,True,0.0007999999999999999,1.0579058125135814,-0.041985056366707685,0.0,0.0,0.8,0.0,0.0,0.2
2009-12-01,0.02109975634921124,0.02109975634921124,0.0,0,False,0.0,1.1307735724376742,0.0,0.0,0.0,0.8,0.0,0.0,0.2
2010-01-01,-0.07134728946560656,-0.07134728946560656,0.0,0,False,0.0,1.0880914580555727,-0.043130930361848896,0.0,0.0,0.8,0.0,0.0,0.2
2010-02-01,0.07489931579740934,0.07169931579740935,0.8,3,True,0.0032,1.0360781014345453,-0.08887154507787587,0.0,0.0,0.0,0.2,0.0,0.8
2010-03-01,0.038198053071744245,0.038198053071744245,0.0,0,False,0.0,1.0763201855039288,-0.05348260303748653,0.0,0.0,0.0,0.2,0.0,0.8
2010-04-01,-0.03261330244595288,-0.03261330244595288,0.0,0,False,0.0,1.0961139474056834,-0.036075942599753774,0.0,0.0,0.0,0.2,0.0,0.8
2010-05-01,-0.0010212910602268154,-0.004221291060226815,0.8,3,True,0.0032,1.0893366338218577,-0.04203592114346,0.0,0.0,0.8,0.0,0.0,0.2
