date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_cmod.uk,w_cspx.uk,w_igln.uk,w_iuit.uk,w_vwra.uk
2019-08-01,-0.03840632493416478,-0.04240632493416478,1.0,3,True,0.004,0.996,0.0,0.0,0.0,0.2,0.0,0.8,0.0
2019-09-01,0.011885845596953515,0.011085845596953515,0.2,2,True,0.0008,0.9600327914429753,-0.036111655177735624,0.0,0.0,0.0,0.2,0.8,0.0
2019-10-01,0.03884638332800412,0.03884638332800412,0.0,0,False,0.0,0.9706664380957031,-0.025435303116764008,0.0,0.0,0.0,0.2,0.8,0.0
2019-11-01,0.0176204217446597,0.0176204217446597,0.0,0,False,0.0,1.0083733186335966,0.0,0.0,0.0,0.0,0.2,0.8,0.0
2019-12-01,0.06559299042798448,0.06479299042798449,0.2,2,True,0.0008,1.0407526015582729,-0.0006505779360768127,0.0,0.0,0.2,0.0,0.8,0.0
2020-01-01,0.032621982439831984,0.032621982439831984,0.0,0,False,0.0,1.0768238169496438,-0.02572560307522309,0.0,0.0,0.2,0.0,0.8,0.0
2020-02-01,-0.05997710953031688,-0.05997710953031688,0.0,0,False,0.0,1.1114136866278783,-0.022668889164315864,0.0,0.0,0.2,0.0,0.8,0.0
2020-03-01,-0.1061578810110623,-0.1069578810110623,0.2,2,True,0.0008,1.0050660022343603,-0.1496940142668557,0.0,0.0,0.0,0.2,0.8,0.0
2020-04-01,0.0,-0.004,1.0,3,True,0.004,0.8940610223851694,-0.24360645245710377,1.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,0.0,0.0,0.0,0,False,0.0,0.8940610223851694,-0.24360645245710377,1.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.061518627482197365,0.05751862748219737,1.0,3,True,0.004,0.8904847782956288,-0.24663202664727524,0.0,0.0,0.0,0.2,0.8,0.0
2020-07-01,0.08317708740682486,0.08317708740682486,0.0,0,False,0.0,0.9452661796501648,-0.2002858629375709,0.0,0.0,0.0,0.2,0.8,0.0
2020-08-01,0.08548742444378435,0.08548742444378435,0.0,0,False,0.0,0.9968406506377213,-0.15665282660538205,0.0,0.0,0.0,0.2,0.8,0.0
2020-09-01,-0.04803992598388911,-0.04803992598388911,0.0,0,False,0.0,1.0820579904416066,-0.08455724883993032,0.0,0.0,0.0,0.2,0.8,0.0
2020-10-01,-0.04930573272609824,-0.04930573272609824,0.0,0,False,0.0,1.0300760046705157,-0.1285350508481481,0.0,0.0,0.0,0.2,0.8,0.0
2020-11-01,0.12433629926253671,0.12353629926253672,0.2,2,True,0.0008,0.9761674934587988,-0.17414273199882002,0.0,0.0,0.2,0.0,0.8,0.0
2020-12-01,0.022624859277334777,0.022624859277334777,0.0,0,False,0.0,1.0966625146182083,-0.0722015286200226,0.0,0.0,0.2,0.0,0.8,0.0
2021-01-01,0.02398738064902304,0.02398738064902304,0.0,0,False,0.0,1.1248576528556893,-0.04834787646324301,0.0,0.0,0.2,0.0,0.8,0.0
2021-02-01,0.02187534367332198,0.02187534367332198,0.0,0,False,0.0,1.151840041550705,-0.0255202347305159,0.0,0.0,0.2,0.0,0.8,0.0
2021-03-01,0.012545384560669249,0.012545384560669249,0.0,0,False,0.0,1.1770369383163204,-0.032869198979395886,0.0,0.0,0.2,0.0,0.8,0.0
2021-04-01,0.011260224611729621,0.011260224611729621,0.0,0,False,0.0,1.1918033193496116,-0.02073617116012416,0.0,0.0,0.2,0.0,0.8,0.0
2021-05-01,0.01665479926401896,0.01665479926401896,0.0,0,False,0.0,1.2390475186279875,-0.018126316625744376,0.0,0.0,0.2,0.0,0.8,0.0
2021-06-01,0.0588010516851484,0.0588010516851484,0.0,0,False,0.0,1.2596836063293175,-0.010544274750782567,0.0,0.0,0.2,0.0,0.8,0.0
2021-07-01,0.04307691481066907,0.04307691481066907,0.0,0,False,0.0,1.333754327172022,-0.002354065640919667,0.0,0.0,0.2,0.0,0.8,0.0
2021-08-01,0.034619621244738455,0.034619621244738455,0.0,0,False,0.0,1.3805542332638918,-0.008044772434143588,0.0,0.0,0.2,0.0,0.8,0.0
2021-09-01,-0.05762405473913714,-0.05762405473913714,0.0,0,False,0.0,1.4283484979273087,0.0,0.0,0.0,0.2,0.0,0.8,0.0
2021-10-01,0.0713738196159714,0.0713738196159714,0.0,0,False,0.0,1.3460412658961816,-0.05928716164463088,0.0,0.0,0.2,0.0,0.8,0.0
2021-11-01,0.053460758144237584,0.053460758144237584,0.0,0,False,0.0,1.44211337240391,0.0,0.0,0.0,0.2,0.0,0.8,0.0
2021-12-01,0.012802707625538236,0.012802707625538236,0.0,0,False,0.0,1.5192098466225656,-0.007616930678867262,0.0,0.0,0.2,0.0,0.8,0.0
2022-01-01,-0.06343665241967815,-0.06343665241967815,0.0,0,False,0.0,1.4680289994772717,-0.060142880883695016,0.0,0.0,0.2,0.0,0.8,0.0
2022-02-01,-0.057699335417840676,-0.057699335417840676,0.0,0,False,0.0,1.366645524265352,-0.12505030503717096,0.0,0.0,0.2,0.0,0.8,0.0
2022-03-01,0.044501936760194434,0.04130193676019443,0.8,3,True,0.0032,1.2836700546090323,-0.17817261113349436,0.0,0.8,0.0,0.0,0.2,0.0
2022-04-01,0.010892346898744076,0.010892346898744076,0.0,0,False,0.0,1.340795858200199,-0.14159970064636118,0.0,0.8,0.0,0.0,0.2,0.0
2022-05-01,0.014661420577646769,0.014661420577646769,0.0,0,False,0.0,1.3623312554740747,-0.12781237325156392,0.0,0.8,0.0,0.0,0.2,0.0
2022-06-01,-0.11206176448970114,-0.11206176448970114,0.0,0,False,0.0,1.375216782836355,-0.11956283960521263,0.0,0.8,0.0,0.0,0.2,0.0
2022-07-01,0.0,-0.004,1.0,3,True,0.004,1.21622313334148,-0.22135327659606885,1.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,0.0,0.0,0.0,0,False,0.0,1.21622313334148,-0.22135327659606885,1.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,0.0,0.0,0.0,0,False,0.0,1.21622313334148,-0.22135327659606885,1.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,0.0,0.0,0.0,0,False,0.0,1.21622313334148,-0.22135327659606885,1.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0,0,False,0.0,1.21622313334148,-0.22135327659606885,1.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,0.0,0.0,0.0,0,False,0.0,1.21622313334148,-0.22135327659606885,1.0,0.0,0.0,0.0,0.0,0.0
