date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_cmod.uk,w_cspx.uk,w_igln.uk,w_iuit.uk,w_vwra.uk
2023-01-01,0.07374082118109415,0.06974082118109415,1.0,2,True,0.004,1.21622313334148,-0.22135327659606885,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-01,-0.029859371989982564,-0.029859371989982564,0.0,0,False,0.0,1.3006847922297902,-0.1672794868910854,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-01,0.08279186753301193,0.07879186753301193,1.0,2,True,0.004,1.2567997725321796,-0.19537542246187123,0.0,0.0,0.0,1.0,0.0,0.0
2023-04-01,0.011485352948767513,0.011485352948767513,0.0,0,False,0.0,1.3532132533007357,-0.1336498732313205,0.0,0.0,0.0,1.0,0.0,0.0
2023-05-01,0.01137348152832778,0.01057348152832778,0.19999999999999998,2,True,0.0007999999999999999,1.3533878839954443,-0.13353807169218423,0.0,0.0,0.0,0.8,0.2,0.0
2023-06-01,-0.011596467397155941,-0.011596467397155941,0.0,0,False,0.0,1.367685591601853,-0.1243844362492118,0.0,0.0,0.0,0.8,0.2,0.0
2023-07-01,0.03539295157812021,0.03219295157812021,0.8,3,True,0.0032,1.347893470290119,-0.1370556887407296,0.0,0.0,0.2,0.0,0.8,0.0
2023-08-01,-0.011538783168872802,-0.011538783168872802,0.0,0,False,0.0,1.3911334805409887,-0.10937269918165915,0.0,0.0,0.2,0.0,0.8,0.0
2023-09-01,-0.05627316812282117,-0.05627316812282117,0.0,0,False,0.0,1.3750814929500674,-0.11964945449008013,0.0,0.0,0.2,0.0,0.8,0.0
2023-10-01,-0.011017838640911482,-0.011017838640911482,0.0,0,False,0.0,1.2885473770837668,-0.17505006638012954,0.0,0.0,0.2,0.0,0.8,0.0
2023-11-01,0.11158875953678554,0.11158875953678554,0.0,0,False,0.0,1.2743503700018879,-0.1841392316355841,0.0,0.0,0.2,0.0,0.8,0.0
2023-12-01,0.020014336831818767,0.020014336831818767,0.0,0,False,0.0,1.4165535470056423,-0.09309834053907018,0.0,0.0,0.2,0.0,0.8,0.0
2024-01-01,0.06178962403480388,0.06178962403480388,0.0,0,False,0.0,1.477949075081246,-0.053791879859950154,0.0,0.0,0.2,0.0,0.8,0.0
2024-02-01,0.06831459050723429,0.06831459050723429,0.0,0,False,0.0,1.5692709927731026,-0.02735148116503705,0.0,0.0,0.2,0.0,0.8,0.0
2024-03-01,0.002318481052869625,0.002318481052869625,0.0,0,False,0.0,1.6764750980392782,0.0,0.0,0.0,0.2,0.0,0.8,0.0
2024-04-01,-0.049749500682862886,-0.049749500682862886,0.0,0,False,0.0,1.6976039910273477,-0.013125553739468332,0.0,0.0,0.2,0.0,0.8,0.0
2024-05-01,0.10320371729029101,0.10320371729029101,0.0,0,False,0.0,1.6131490401165018,-0.0622220646776066,0.0,0.0,0.2,0.0,0.8,0.0
2024-06-01,0.08393219400388814,0.08393219400388814,0.0,0,False,0.0,1.7471219160934413,-0.03825533889296451,0.0,0.0,0.2,0.0,0.8,0.0
2024-07-01,-0.03374248105081752,-0.03374248105081752,0.0,0,False,0.0,1.8937616917034412,-0.026098701297500693,0.0,0.0,0.2,0.0,0.8,0.0
2024-08-01,0.03035818246661872,0.03035818246661872,0.0,0,False,0.0,1.8298614737063736,-0.07390796006155897,0.0,0.0,0.2,0.0,0.8,0.0
2024-09-01,-0.0011113332343931858,-0.0011113332343931858,0.0,0,False,0.0,1.8676378045199213,-0.054789376623848196,0.0,0.0,0.2,0.0,0.8,0.0
2024-10-01,0.024445587842454854,0.024445587842454854,0.0,0,False,0.0,1.8655622365579496,-0.05583982060310744,0.0,0.0,0.2,0.0,0.8,0.0
2024-11-01,0.0293515934131662,0.028551593413166203,0.2,2,True,0.0008,1.9096380684856233,-0.033533062584312656,0.0,0.0,0.0,0.2,0.8,0.0
2024-12-01,0.005224286634712349,0.005224286634712349,0.0,0,False,0.0,1.9521484542173038,-0.012270300044610494,0.0,0.0,0.0,0.2,0.8,0.0
2025-01-01,-0.031026520951322214,-0.03182652095132221,0.2,2,True,0.0008,1.8801552178967014,-0.062227233017262185,0.0,0.0,0.2,0.0,0.8,0.0
2025-02-01,-0.01081029462582539,-0.01081029462582539,0.0,0,False,0.0,1.8784764406534196,-0.0630645636618784,0.0,0.0,0.2,0.0,0.8,0.0
2025-03-01,-0.04252254289824284,-0.04332254289824284,0.2,2,True,0.0008,1.8517279592584206,-0.07640601396960123,0.0,0.0,0.0,0.2,0.8,0.0
2025-04-01,0.040442324780790705,0.040442324780790705,0.0,0,False,0.0,1.7715693874528384,-0.11638703519804916,0.0,0.0,0.0,0.2,0.8,0.0
2025-05-01,0.06990017653667162,0.06990017653667162,0.0,0,False,0.0,1.8432157719919129,-0.08065167269501117,0.0,0.0,0.0,0.2,0.8,0.0
2025-06-01,0.06398968631625276,0.06398968631625276,0.0,0,False,0.0,1.9526165887076523,-0.02608537645248099,0.0,0.0,0.0,0.2,0.8,0.0
2025-07-01,0.0320124053246373,0.0320124053246373,0.0,0,False,0.0,2.0775639117149667,-0.002160035179392006,0.0,0.0,0.0,0.2,0.8,0.0
2025-08-01,0.02673659536087363,0.02673659536087363,0.0,0,False,0.0,2.144071729744625,-0.019721940713226083,0.0,0.0,0.0,0.2,0.8,0.0
2025-09-01,0.08220002878285243,0.08220002878285243,0.0,0,False,0.0,2.201396908007495,-0.011118108387190184,0.0,0.0,0.0,0.2,0.8,0.0
2025-10-01,0.05927604804207923,0.05927604804207923,0.0,0,False,0.0,2.3823517972081927,0.0,0.0,0.0,0.0,0.2,0.8,0.0
2025-11-01,-0.02721083741166734,-0.02721083741166734,0.0,0,False,0.0,2.5163722707213236,-0.010857188185248723,0.0,0.0,0.0,0.2,0.8,0.0
2025-12-01,0.005547383390364979,0.005547383390364979,0.0,0,False,0.0,2.4478996739954986,-0.03777259241445896,0.0,0.0,0.0,0.2,0.8,0.0
2026-01-01,0.007403472231016206,0.007403472231016206,0.0,0,False,0.0,2.3598182400189267,-0.07239589449340267,0.0,0.0,0.0,0.2,0.8,0.0
2026-02-01,-0.009166056281671373,-0.009166056281671373,0.0,0,False,0.0,2.409519707068936,-0.052859099623591144,0.0,0.0,0.0,0.2,0.8,0.0
2026-03-01,-0.04002012072088364,-0.04002012072088364,0.0,0,False,0.0,2.389742183843953,-0.060633305038707785,0.0,0.0,0.0,0.2,0.8,0.0
2026-04-01,-0.01488029623741185,-0.01808029623741185,0.8,3,True,0.0032,2.2867632790326344,-0.1011125475768051,0.0,0.2,0.0,0.8,0.0,0.0
2026-05-01,0.018470144189082528,0.015270144189082529,0.8,3,True,0.0032,2.2455268102109422,-0.11732189672366555,0.0,0.8,0.0,0.0,0.2,0.0
2026-06-01,-0.09288364492869539,-0.09288364492869539,0.0,0,False,0.0,2.2870020141759886,-0.10101870488360587,0.0,0.8,0.0,0.0,0.2,0.0
2026-07-01,0.0,-0.0032,0.8,3,True,0.0032,2.067938284960408,-0.18712890233098578,0.0,0.0,0.2,0.0,0.8,0.0
2026-08-01,0.0,-0.004,1.0,3,True,0.004,2.0427624512507947,-0.1970250910766077,1.0,0.0,0.0,0.0,0.0,0.0
