date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_efa.us,w_gld.us,w_hyg.us,w_rsp.us,w_spy.us,w_tlt.us,w_vnq.us,w_xle.us,w_xlf.us,w_xli.us,w_xlp.us,w_xlv.us
2005-12-01,0.008716416854843534,0.006716416854843534,0.5,3,True,0.002,0.998,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
2006-01-01,0.014988913650251373,0.013988913650251372,0.25,2,True,0.001,0.9907743825495998,-0.018054364936839207,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0
2006-02-01,-0.011391888408369355,-0.012391888408369356,0.25,2,True,0.001,1.0036147698130977,-0.00968021051744583,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
2006-03-01,0.008834650978820302,0.008834650978820302,0.0,0,False,0.0,0.9921817023503956,-0.020961823047830896,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
2006-04-01,0.01651152840411607,0.01651152840411607,0.0,0,False,0.0,0.9997668262409549,-0.013477180015029955,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
2006-05-01,-0.012620756955529389,-0.01362075695552939,0.25,2,True,0.001,1.0152582300853357,-0.009876164949530697,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0
2006-06-01,-0.005187377574325691,-0.006187377574325691,0.25,2,True,0.001,1.0014424578136112,-0.026944889138725392,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0
2006-07-01,-0.014489583376188692,-0.014489583376188692,0.0,0,False,0.0,0.9925172126870943,-0.03561713517571474,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0
2006-08-01,-0.0053356409619447764,-0.0063356409619447765,0.25,2,True,0.001,0.9771579157297806,-0.05054105046105184,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0
2006-09-01,-0.02057511908565518,-0.02157511908565518,0.25,2,True,0.001,0.9709722077763959,-0.05655141550137299,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0
2006-10-01,0.009000875905158967,0.008000875905158966,0.25,2,True,0.001,0.9552169122094054,-0.07186010423827838,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
2006-11-01,0.0008358815682472098,0.0008358815682472098,0.0,0,False,0.0,0.9628508863976126,-0.06444252618168611,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
2006-12-01,-0.006799278681387216,-0.007799278681387216,0.25,2,True,0.001,0.9626920599908163,-0.06459685042235219,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0
2007-01-01,0.007032380811053729,0.006032380811053729,0.25,2,True,0.001,0.9630369579624483,-0.06426172908671912,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
