date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_dbc.us,w_iau.us,w_ief.us,w_ivv.us,w_lqd.us,w_spy.us,w_tlt.us,w_vea.us,w_vt.us,w_vwo.us,w_xlk.us
2006-03-01,0.007706886223917057,0.006306886223917057,0.35,4,True,0.0014,0.9986,0.0,0.65,0.0,0.21000000000000002,0.0,0.10500000000000001,0.0,0.0,0.034999999999999996,0.0,0.0,0.0,0.0
2006-04-01,0.022872369445964116,0.022872369445964116,0.0,0,False,0.0,1.0049407763861298,-0.0016644279977428011,0.65,0.0,0.21000000000000002,0.0,0.10500000000000001,0.0,0.0,0.034999999999999996,0.0,0.0,0.0,0.0
2006-05-01,-0.009088917328380127,-0.009088917328380127,0.0,0,False,0.0,1.0279261530949475,-0.0011662428798207003,0.65,0.0,0.21000000000000002,0.0,0.10500000000000001,0.0,0.0,0.034999999999999996,0.0,0.0,0.0,0.0
2006-06-01,-0.0016892231528700982,-0.0016892231528700982,0.0,0,False,0.0,1.0185834172697876,-0.028650622951152838,0.65,0.0,0.21000000000000002,0.0,0.10500000000000001,0.0,0.0,0.034999999999999996,0.0,0.0,0.0,0.0
2006-07-01,0.0068862541545218975,0.0068862541545218975,0.0,0,False,0.0,1.0124683703629775,-0.03448210116181882,0.65,0.0,0.21000000000000002,0.0,0.10500000000000001,0.0,0.0,0.034999999999999996,0.0,0.0,0.0,0.0
2006-08-01,-0.004960313484296966,-0.005240313484296966,0.06999999999999999,3,True,0.00028,1.019155041548944,-0.028105506195813423,0.65,0.0,0.245,0.0,0.034999999999999996,0.0,0.0,0.06999999999999999,0.0,0.0,0.0,0.0
2006-09-01,0.0025398455699489754,0.0016998455699489753,0.21000000000000002,3,True,0.00084,1.0132478692947946,-0.03373874937639487,0.65,0.0,0.034999999999999996,0.0,0.21000000000000002,0.0,0.0,0.10500000000000001,0.0,0.0,0.0,0.0
2006-10-01,0.006663920282088397,0.006383920282088397,0.06999999999999999,2,True,0.00028,1.0170066057497344,-0.030154314118472803,0.65,0.0,0.034999999999999996,0.0,0.13999999999999999,0.0,0.0,0.175,0.0,0.0,0.0,0.0
2006-11-01,0.009863466663829305,0.009303466663829306,0.13999999999999999,3,True,0.00056,1.0229240387864913,-0.024511285971216323,0.65,0.0,0.06999999999999999,0.0,0.245,0.0,0.0,0.034999999999999996,0.0,0.0,0.0,0.0
2006-12-01,-0.004900333601790501,-0.005320333601790501,0.10500000000000001,2,True,0.00042,1.0325797502239955,-0.01530333193351685,0.65,0.0,0.175,0.0,0.13999999999999999,0.0,0.0,0.034999999999999996,0.0,0.0,0.0,0.0
2007-01-01,0.009167839344175458,0.008887839344175457,0.06999999999999999,2,True,0.00028,1.0246659226260335,-0.0228501772650036,0.65,0.0,0.10500000000000001,0.0,0.21000000000000002,0.0,0.0,0.034999999999999996,0.0,0.0,0.0,0.0
2007-02-01,0.002683096864681557,0.0022630968646815573,0.10500000000000001,3,True,0.00042,1.0333361748649341,-0.014581984431385364,0.65,0.06999999999999999,0.13999999999999999,0.0,0.10500000000000001,0.0,0.0,0.034999999999999996,0.0,0.0,0.0,0.0
2007-03-01,-0.0003638009201219927,-0.0007838009201219927,0.105,4,True,0.00041999999999999996,1.0356735502551917,-0.012352998478186161,0.65,0.13999999999999999,0.10500000000000001,0.0,0.034999999999999996,0.0,0.0,0.06999999999999999,0.0,0.0,0.0,0.0
2007-04-01,0.008409294938485587,0.008129294938485587,0.06999999999999999,3,True,0.00028,1.0367161970151257,-0.011358701630650003,0.65,0.10500000000000001,0.10500000000000001,0.0,0.10500000000000001,0.0,0.0,0.034999999999999996,0.0,0.0,0.0,0.0
2007-05-01,0.0026239347735853027,0.0026239347735853027,0.0,0,False,0.0,1.045141527693532,-0.003444596926341359,0.65,0.10500000000000001,0.10500000000000001,0.0,0.10500000000000001,0.0,0.0,0.034999999999999996,0.0,0.0,0.0,0.0
2007-06-01,-0.00335992370381424,-0.00335992370381424,0.0,0,False,0.0,1.0478839108913653,-0.0009290171646644252,0.65,0.10500000000000001,0.10500000000000001,0.0,0.10500000000000001,0.0,0.0,0.034999999999999996,0.0,0.0,0.0,0.0
