date,gross_return,net_return,turnover,operations,signal_changed,trade_cost,equity,drawdown,w__CASH,w_tlt.us
2005-03-01,-0.004612876015268941,-0.00861287601526894,1.0,2,True,0.004,0.996,0.0,0.0,1.0
2005-04-01,0.031281209443838165,0.031281209443838165,0.0,0,False,0.0,0.9914055754887924,-0.017380435608779665,0.0,1.0
2005-05-01,0.04046316961495311,0.04046316961495311,0.0,0,False,0.0,1.026342629236669,-0.0016924232152062402,0.0,1.0
2005-06-01,-0.0064063028151526424,-0.0064063028151526424,0.0,0,False,0.0,1.0678717051265298,0.0,0.0,1.0
2005-07-01,-0.029221417861116095,-0.029221417861116095,0.0,0,False,0.0,1.0610305956157562,-0.015481370132209848,0.0,1.0
2005-08-01,0.028767359900084166,0.028767359900084166,0.0,0,False,0.0,1.0300257772178396,-0.04425040040762973,0.0,1.0
2005-09-01,-0.04165139717836008,-0.04165139717836008,0.0,0,False,0.0,1.0596568994574285,-0.016756007701795306,0.0,1.0
2005-10-01,-0.020214713953374708,-0.020214713953374708,0.0,0,False,0.0,1.0275828904007887,-0.04651712823996834,0.0,1.0
2005-11-01,0.002173214104572052,0.002173214104572052,0.0,0,False,0.0,1.006810596207954,-0.06579151175204023,0.0,1.0
2005-12-01,0.025752670739469297,0.025752670739469297,0.0,0,False,0.0,1.0089986111962659,-0.06376127668876885,0.0,1.0
2006-01-01,-0.018876003090807503,-0.018876003090807503,0.0,0,False,0.0,1.029463558773503,-0.04477207672383754,0.0,1.0
2006-02-01,0.0048515553615993134,0.0048515553615993134,0.0,0,False,0.0,1.0100314014562206,-0.06280296195602408,0.0,1.0
2006-03-01,-0.043212285100651004,-0.043212285100651004,0.0,0,False,0.0,1.0149316247173392,-0.05825609864122683,0.0,1.0
2006-04-01,-0.038949272150215375,-0.038949272150215375,0.0,0,False,0.0,0.9744694860538502,-0.09580047246334134,0.0,1.0
2006-05-01,0.006115976628298103,0.006115976628298103,0.0,0,False,0.0,0.9365146088394584,-0.1310183859394628,0.0,1.0
2006-06-01,0.00245535796148455,0.00245535796148455,0.0,0,False,0.0,0.9422423102991802,-0.1257037146974478,0.0,1.0
2006-07-01,0.018440505088013648,0.018440505088013648,0.0,0,False,0.0,0.9491535639459033,-0.11929083838732413,0.0,1.0
2006-08-01,0.02695964853670718,0.02695964853670718,0.0,0,False,0.0,0.9666564350711538,-0.10305011661154562,0.0,1.0
2006-09-01,0.017466874676442146,0.017466874676442146,0.0,0,False,0.0,0.9927171528164189,-0.07886866300035189,0.0,1.0
2006-10-01,0.00741205490283714,0.00741205490283714,0.0,0,False,0.0,1.0111141791474534,-0.06179826443511505,0.0,1.0
2006-11-01,0.016337722478829253,0.016337722478829253,0.0,0,False,0.0,1.0186086129563312,-0.05484426166117118,0.0,1.0
2006-12-01,-0.025721826197615316,-0.025721826197615316,0.0,0,False,0.0,1.0352503577893573,-0.039402569508918184,0.0,1.0
2007-01-01,-0.02231868224654976,-0.02231868224654976,0.0,0,False,0.0,1.0013203167835791,-0.07088588169651866,0.0,1.0
2007-02-01,0.030454607142794243,0.030454607142794243,0.0,0,False,0.0,0.9789721668062716,-0.09162248447371757,0.0,1.0
2007-03-01,-0.01830503140351114,-0.01830503140351114,0.0,0,False,0.0,1.0087863795500869,-0.06395820410101694,0.0,1.0
2007-04-01,0.004449895983245744,0.004449895983245744,0.0,0,False,0.0,0.992392789916486,-0.07916963577073333,0.0,1.0
2007-05-01,-0.03274414570685158,-0.03274414570685158,0.0,0,False,0.0,0.996808834606138,-0.07507203643169824,0.0,1.0
2007-06-01,-0.00343421989408621,-0.00343421989408621,0.0,0,False,0.0,0.9641691808839179,-0.10535801243912002,0.0,1.0
2007-07-01,0.021408725445737797,0.021408725445737797,0.0,0,False,0.0,0.9594488198804929,-0.1097379835415333,0.0,1.0
2007-08-01,0.016518529611261323,0.016518529611261323,0.0,0,False,0.0,0.9799893962445516,-0.09067860845640496,0.0,1.0
2007-09-01,0.0035789740043434826,0.0035789740043434826,0.0,0,False,0.0,0.9997426730522511,-0.07234975997788462,0.0,1.0
2007-10-01,0.02103977922306699,0.02103977922306699,0.0,0,False,0.0,1.0033207260901376,-0.06902972388372275,0.0,1.0
2007-11-01,0.044126725854110704,0.044126725854110704,0.0,0,False,0.0,1.0244303726570014,-0.04944231481099848,0.0,1.0
2007-12-01,-0.003968781082035466,-0.003968781082035466,0.0,0,False,0.0,1.065389983195792,-0.012514052612982884,0.0,1.0
2008-01-01,0.009066986735364324,0.009066986735364324,0.0,0,False,0.0,1.0430483638316794,-0.03322199572481177,0.0,1.0
2008-02-01,-0.01671547587771971,-0.01671547587771971,0.0,0,False,0.0,1.0525056695108843,-0.02445623238400707,0.0,1.0
2008-03-01,0.0030783251812900314,0.0030783251812900314,0.0,0,False,0.0,1.0414385013940886,-0.03471414091053859,0.0,1.0
2008-04-01,-0.012224854971811472,-0.012224854971811472,0.0,0,False,0.0,1.044644387757694,-0.03341315170967207,0.0,1.0
2008-05-01,-0.026682923359179656,-0.026682923359179656,0.0,0,False,0.0,1.0318737616202391,-0.04522953574768196,0.0,1.0
2008-06-01,0.016369786178060286,0.016369786178060286,0.0,0,False,0.0,1.0040825848366866,-0.07094411028835734,0.0,1.0
2008-07-01,-0.002684076652546663,-0.002684076652546663,0.0,0,False,0.0,1.020519202055577,-0.05573566402631047,0.0,1.0
2008-08-01,0.03094408467283505,0.03094408467283505,0.0,0,False,0.0,1.0177800502918641,-0.058270141884329774,0.0,1.0
2008-09-01,0.014958849744640679,0.014958849744640679,0.0,0,False,0.0,1.0433454667531847,-0.034615015209481514,0.0,1.0
2008-10-01,-0.03208566433286264,-0.03208566433286264,0.0,0,False,0.0,1.0589527148220972,-0.027483745083004663,0.0,1.0
